,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assits,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1,1,100.0,38,8,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,906,1164,77.8,13287,5990,545,613,88.9,284,361,78.7,51,105,48.6,1,0.7,1.7,+0.3,11,71,20,4,103,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99,Matches
3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,7,14,50.0,140,10,2,5,40.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,0,1,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,605,718,84.3,10646,2928,279,298,93.6,239,266,89.8,70,116,60.3,0,0.8,0.7,-0.8,12,64,7,4,65,Matches
5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,-0.7,20,115,13,4,138,Matches
6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,+1.7,6,11,6,0,21,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,521,681,76.5,11246,4984,159,187,85.0,262,307,85.3,93,169,55.0,0,0.1,0.1,-0.1,3,31,1,0,31,Matches
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,-0.4,2,50,3,1,55,Matches
10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,+0.3,9,14,1,0,11,Matches
11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,185,223,83.0,3437,574,79,86,91.9,83,100,83.0,19,27,70.4,0,0.0,0.2,0.0,1,20,2,0,28,Matches
13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,1854,2097,88.4,35641,11589,703,767,91.7,880,930,94.6,248,352,70.5,1,1.0,1.4,0.0,10,110,21,10,141,Matches
14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,19,32,59.4,222,43,12,17,70.6,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1415,1767,80.1,24839,9704,675,730,92.5,542,639,84.8,159,310,51.3,2,2.6,2.9,-0.6,32,104,35,19,114,Matches
16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,0.0,37,35,23,1,57,Matches
17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2,1,0.9,1.5,+0.1,14,97,24,3,113,Matches
18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,103,156,66.0,1445,379,61,80,76.3,29,41,70.7,7,11,63.6,3,2.3,0.9,+0.7,11,5,7,2,17,Matches
19,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1647,1918,85.9,33255,12650,484,551,87.8,949,1008,94.1,196,318,61.6,0,0.3,0.4,-0.3,5,71,5,0,75,Matches
20,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,7,10,70.0,99,0,5,5,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,+0.6,53,158,20,2,188,Matches
22,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
23,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,78,100,78.0,1796,1138,24,24,100.0,33,34,97.1,20,40,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
24,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,534,751,71.1,8856,4049,268,318,84.3,204,283,72.1,48,106,45.3,1,0.7,0.7,+0.3,12,39,15,10,39,Matches
25,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,434,487,89.1,7835,1942,191,205,93.2,187,205,91.2,47,59,79.7,0,0.1,0.3,-0.1,2,39,3,1,46,Matches
26,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,210,299,70.2,3068,1068,125,150,83.3,66,101,65.3,11,24,45.8,0,0.5,0.4,-0.5,3,10,3,2,9,Matches
27,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,228,328,69.5,3824,848,114,141,80.9,86,110,78.2,22,36,61.1,2,1.3,0.8,+0.7,12,27,10,0,43,Matches
28,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2449,2712,90.3,45688,18953,976,1021,95.6,1198,1282,93.4,251,365,68.8,1,0.7,0.7,+0.3,5,126,1,0,136,Matches
29,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,6.2,140,173,80.9,1625,219,86,99,86.9,34,38,89.5,2,2,100.0,1,1.2,0.9,-0.2,7,12,5,1,12,Matches
30,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,1265,1568,80.7,19271,5384,721,779,92.6,420,535,78.5,87,166,52.4,3,4.7,5.8,-1.7,41,77,39,21,101,Matches
31,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,110,125,88.0,1600,377,61,68,89.7,36,37,97.3,5,7,71.4,0,0.0,0.1,0.0,1,12,0,0,11,Matches
32,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,258,322,80.1,4276,822,121,131,92.4,116,144,80.6,15,25,60.0,0,0.2,0.1,-0.2,5,12,2,0,25,Matches
33,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,701,851,82.4,11805,2947,324,367,88.3,283,341,83.0,68,93,73.1,2,1.3,0.8,+0.7,7,59,9,1,92,Matches
34,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,7,10,70.0,100,26,4,4,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
