,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
0,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,6,0.80,19,13,68.4,1,3,3,2,28.6,0,0,0,0,,Matches
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,8,1.77,16,7,56.3,2,0,2,1,25.0,2,1,1,0,50.0,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,"3,330",37.0,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,Matches
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50.0,2,2,0,0,0.0,Matches
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29,29,"2,565",28.5,33,1.16,120,90,73.3,8,9,12,9,31.0,1,1,0,0,0.0,Matches
6,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,10,900,10.0,21,2.10,51,30,60.8,2,2,6,1,10.0,1,1,0,0,0.0,Matches
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25,25,"2,250",25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6,Matches
8,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36,36,"3,240",36.0,63,1.75,200,136,72.0,5,10,21,4,11.1,10,7,3,0,30.0,Matches
9,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34,34,"3,060",34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,Matches
11,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32,32,"2,880",32.0,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50.0,Matches
12,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29,1993,2,2,180,2.0,3,1.50,13,10,76.9,0,1,1,0,0.0,0,0,0,0,,Matches
14,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27,27,"2,430",27.0,62,2.30,143,84,62.2,1,5,21,3,11.1,9,8,0,1,0.0,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37,37,"3,330",37.0,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2,Matches
