,Player,Nation,Pos,Squad,Competition_Name,Age,Born,Matches_Played,Yellow_Cards,Red_Cards,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Interceptions,Tackles_Won,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost,Percentage_of_Aerials_Won,Matches
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,Matches
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,Matches
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,Matches
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,1991,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2,Matches
16,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,eng Premier League,20,2002,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0,Matches
17,Bénie Adama Traore,ci CIV,"FW,MF",Nantes,fr Ligue 1,20,2002,5.6,1,1,0,10,7,1,20,1,4,0,0,0,28,1,11,8.3,Matches
18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,Matches
20,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,Matches
23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,Matches
25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,Matches
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7,Matches
27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,Matches
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,Matches
29,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
30,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0,Matches
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,Matches
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4,Matches
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3,Matches
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,Matches
38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1,Matches
39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,Matches
40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0,Matches
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1,Matches
44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,Matches
45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3,Matches
47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2,Matches
48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0,Matches
49,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2,Matches
51,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0,Matches
52,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0,Matches
53,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0,Matches
54,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,Matches
55,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4,Matches
56,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,,Matches
57,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,1,0,0,9,3,0,0,6,9,0,0,0,25,8,5,61.5,Matches
58,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,Matches
59,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0,Matches
60,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3,Matches
61,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,2,0,0,4,0,0,17,15,9,0,0,1,63,10,9,52.6,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,6,0,0,21,8,1,0,16,14,0,0,0,75,46,29,61.3,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
65,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,14,0,0,84,71,1,36,33,59,0,0,0,234,47,49,49.0,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,8,1,0,34,11,2,5,13,21,0,0,0,107,55,45,55.0,Matches
68,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,17,0,0,49,49,9,151,7,23,0,1,0,87,15,18,45.5,Matches
69,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,6,0,0,22,18,3,33,4,8,0,0,0,53,11,19,36.7,Matches
70,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Matches
71,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,0,0,0,4,1,0,6,1,0,0,0,0,5,1,5,16.7,Matches
72,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,0,0,0,5,6,3,11,1,3,0,0,0,16,3,6,33.3,Matches
73,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,2,0,0,17,22,3,44,3,9,1,1,0,30,5,12,29.4,Matches
74,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,Matches
75,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,1,0,0,10,20,5,54,3,2,0,0,0,36,10,10,50.0,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Matches
77,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,1,0,0,2,3,3,10,3,1,0,0,0,19,5,4,55.6,Matches
78,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,1,0,0,15,26,1,47,13,18,0,0,0,100,16,26,38.1,Matches
79,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,0,0,0,12,20,1,18,6,15,0,0,0,43,4,15,21.1,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,2,0,0,16,22,10,24,10,24,0,0,0,97,6,7,46.2,Matches
81,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,5,0,0,29,35,1,21,14,29,2,0,0,69,14,22,38.9,Matches
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,0,0,0,7,6,0,15,4,3,0,0,0,14,2,4,33.3,Matches
83,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,3,0,0,12,4,0,5,5,7,0,1,0,42,2,7,22.2,Matches
84,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,1,0,0,8,8,0,1,9,8,0,0,0,41,2,4,33.3,Matches
85,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,Matches
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,7,0,0,43,10,1,25,35,37,0,0,0,132,51,30,63.0,Matches
87,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,1,0,0,9,9,1,22,5,9,0,0,0,47,5,6,45.5,Matches
88,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,2,0,0,23,13,2,137,2,13,2,0,0,98,4,24,14.3,Matches
