,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots
0,0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,45.0,18,16.0,22.0,7.0,15.0,46.0,32.6,31.0,43.0,3.0,40.0,5,50.0,6.0,1.0
1,1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,6.0,5,2.0,2.0,2.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,0,6.0,2.0,0.0
2,2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0,1.0,5.0,0.0
3,3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
4,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,82.0,50,47.0,33.0,2.0,39.0,52.0,75.0,13.0,65.0,27.0,38.0,64,146.0,116.0,1.0
5,5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,64.0,38,22.0,32.0,10.0,31.0,67.0,46.3,36.0,30.0,1.0,29.0,28,92.0,15.0,0.0
6,6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,46.0,26,18.0,23.0,5.0,29.0,52.0,55.8,23.0,38.0,9.0,29.0,36,82.0,26.0,0.0
7,7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,92.0,52,59.0,30.0,3.0,39.0,92.0,42.4,53.0,47.0,8.0,39.0,34,126.0,39.0,0.0
8,8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,10.0,6,6.0,3.0,1.0,7.0,16.0,43.8,9.0,7.0,1.0,6.0,5,15.0,17.0,0.0
9,11,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,12.0,9,9.0,2.0,1.0,7.0,16.0,43.8,9.0,8.0,2.0,6.0,8,20.0,24.0,0.0
10,12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,33.0,23,13.0,9.0,11.0,14.0,45.0,31.1,31.0,18.0,1.0,17.0,22,55.0,23.0,0.0
11,13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,17.0,10,4.0,8.0,5.0,3.0,16.0,18.8,13.0,10.0,4.0,6.0,3,20.0,14.0,0.0
12,14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,1.0,0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
13,15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,33.0,19,22.0,7.0,4.0,20.0,27.0,74.1,7.0,25.0,18.0,7.0,41,74.0,85.0,2.0
14,17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
15,18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,57.0,36,34.0,17.0,6.0,30.0,42.0,71.4,12.0,16.0,5.0,11.0,23,80.0,36.0,0.0
16,19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,17.0,13,7.0,8.0,2.0,7.0,12.0,58.3,5.0,13.0,4.0,9.0,4,21.0,22.0,0.0
17,20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,89.0,46,44.0,35.0,10.0,50.0,77.0,64.9,27.0,48.0,8.0,40.0,35,124.0,29.0,0.0
18,21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,14.0,7,5.0,3.0,6.0,7.0,17.0,41.2,10.0,12.0,0.0,12.0,4,18.0,5.0,0.0
19,22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,30.0,13,22.0,6.0,2.0,16.0,23.0,69.6,7.0,20.0,15.0,5.0,26,56.0,140.0,1.0
20,23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,3.0,3,2.0,1.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,3,6.0,3.0,0.0
21,24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,16.0,11,6.0,6.0,4.0,8.0,30.0,26.7,22.0,18.0,1.0,17.0,7,23.0,3.0,0.0
