,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PK_Attempted,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90
0,0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43.0,86.0,151.0,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
1,1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11
2,2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,37,3330,37.0,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40.0,215.0,10.0,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
5,5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58.0,151.0,111.0,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
6,6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33.0,165.0,44.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
7,7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13.0,143.0,14.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07
8,8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
9,11,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27
10,12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100.0,72.0,276.0,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
11,13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,24,2189,24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35.0,54.0,141.0,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.6,0.45,0.6
12,14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,25,2425,26.9,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39.0,100.0,32.0,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08
14,17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39
