,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
0,0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,13.7,581.0,453.0,127.0,11.0,2.0,3.0,13,116.0,0.0,0.0,0.0,0.0,450.0,1.0,23.0
1,1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22.0,2000.0,14.1,472.0,439.0,29.0,3.0,5.0,1.0,22,12.0,6.0,2.0,3.0,0.0,365.0,4.0,21.0
2,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19.0,2003.0,1.1,50.0,48.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
3,3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17.0,2006.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35.0,1987.0,30.9,1836.0,1650.0,178.0,75.0,2.0,13.0,3,29.0,0.0,0.0,0.0,0.0,1552.0,8.0,20.0
5,5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000.0,16.9,895.0,875.0,18.0,17.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,796.0,2.0,17.0
6,6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20.0,2002.0,2.0,79.0,75.0,4.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
7,7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,31.8,1836.0,1743.0,88.0,68.0,6.0,13.0,34,14.0,0.0,0.0,0.0,0.0,1551.0,5.0,25.0
8,8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,11.6,231.0,218.0,12.0,0.0,2.0,1.0,7,1.0,0.0,0.0,0.0,0.0,162.0,1.0,11.0
9,9,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,15.6,797.0,628.0,165.0,7.0,0.0,3.0,26,158.0,0.0,0.0,0.0,0.0,615.0,4.0,23.0
10,10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23.0,2000.0,8.4,196.0,185.0,11.0,1.0,0.0,0.0,5,9.0,0.0,0.0,0.0,0.0,140.0,0.0,7.0
11,11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,25.7,762.0,704.0,55.0,50.0,0.0,17.0,2,4.0,0.0,0.0,0.0,0.0,553.0,3.0,10.0
