,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
0,1902,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,29.0,1995.0,135.0,128.0,11351,126.1,0.18,0.23,0.18,0.23,0.19,0.24,0.18,0.23,69.0,30.0,43.48,36.0,52.17,48.69,4.39,14.07,25.45,9.45,2.48,48.69,0.55,0.24,0.29,20.77,89.62,34.55,0.63,0.68,0.07,0.93,0.5,27.18,1.44,1.41,0.14,1.11,0.02,0.01,0.17,0.06,1.11,0.12,0.0,0.0,0.02,0.0,0.0,3462.0,4651.0,74.44,56738.0,14485.0,1651.0,2081.0,77.9,1279.0,1641.0,77.94,310.0,446.0,69.51,0.01,0.05,0.05,-0.01,0.49,2.83,0.27,0.08,3.62,36.88,36.3,0.52,0.42,0.02,0.36,0.37,0.09,0.01,0.01,0.0,0.0,27.45,0.06,0.8,,0.46,,12.45,,-0.2999999999999998,0.40000000000000013,55.06,0.14,0.01,0.0,1.48,0.74,0.13,1.55,1.06,0.0,0.02,5.31,4.41,3.58,2.02,0.93,0.93,0.16,0.78,1.85,1.07,1.24,0.54,3.57,2.74,0.03,42.25,4,4,0,0,0,0
1,1902,Lee Kang-in,kr KOR,"MF,FW",Paris S-G+Mallorca+Valencia,fr Ligue 1+es La Liga,23.0,2001.0,103.0,75.0,6396,71.1,0.11,0.31,0.11,0.31,0.12,0.29,0.12,0.29,270.0,181.0,67.04,76.0,28.15,49.94,0.48,5.71,23.3,21.88,1.52,49.94,3.8,2.55,1.07,31.63,189.18,88.9,2.91,2.1,0.52,2.1,1.62,34.49,4.78,3.74,0.38,2.09,0.89,0.38,0.19,0.14,2.09,0.2,0.1,0.07,0.01,0.0,0.0,2115.0,2841.0,74.45,33960.0,9639.0,1167.0,1350.0,88.14,646.0,808.0,79.95,220.0,504.0,43.65,0.03,0.16,0.18,0.03,1.65,2.69,1.13,0.3,4.18,39.96,33.47,6.1,2.07,0.27,0.55,5.34,0.39,3.0,1.23,1.13,0.03,29.75,0.38,1.01,,0.57,,3.42,,-0.7000000000000002,-0.7000000000000002,24.57,0.24,0.01,0.01,1.42,2.16,0.08,0.31,0.72,0.0,0.0,4.56,0.62,1.87,1.25,0.34,0.58,0.34,0.52,2.05,1.53,0.76,0.04,1.56,0.21,0.0,24.92,4,0,3,0,1,0
2,1902,Loïc Bade,fr FRA,DF,Sevilla+Sevilla+Rennes+Rennes+Lens,es La Liga+es La Liga+fr Ligue 1+fr Ligue 1,23.0,2000.0,84.0,75.0,6664,74.0,0.01,0.05,0.01,0.05,0.03,0.06,0.03,0.06,50.0,38.0,76.0,11.0,22.0,71.88,7.95,38.73,31.73,2.0,0.65,71.88,0.68,0.51,0.15,42.69,256.78,145.72,0.86,0.47,0.04,0.51,0.22,45.99,0.11,1.25,0.3,0.51,0.01,0.03,0.07,0.0,0.51,0.04,0.01,0.0,0.04,0.0,0.0,3803.0,4446.0,85.54,76678.0,19322.0,848.0,931.0,90.28,2205.0,2415.0,91.3,435.0,692.0,62.86,0.03,0.02,0.02,0.02,0.24,2.99,0.09,0.05,3.49,60.08,58.88,1.08,0.93,0.03,0.43,0.17,0.09,0.0,0.0,0.0,0.0,51.39,0.12,0.38,,0.52,,0.47,,-1.5,-1.5,62.74,0.28,0.04,0.03,1.12,0.38,0.03,1.79,1.19,0.0,0.01,6.43,3.07,1.78,1.81,1.5,0.3,0.01,0.97,1.68,0.7,1.28,0.71,3.61,4.73,0.03,58.23,4,0,2,0,3,0
3,1902,Alassane Pléa,fr FRA,"FW,MF",M'Gladbach,de Bundesliga,30.0,1993.0,110.0,80.0,7017,77.9,0.32,0.57,0.25,0.5,0.32,0.57,0.26,0.51,180.0,91.0,50.56,84.0,46.67,45.11,0.59,3.36,22.41,19.87,3.94,45.03,2.31,1.17,1.08,27.7,142.43,72.8,2.43,1.63,0.92,2.17,1.13,35.26,7.54,3.98,0.51,3.03,0.11,0.26,0.27,0.22,3.03,0.41,0.01,0.04,0.02,0.01,0.0,1959.0,2752.0,71.18,31201.0,10835.0,1043.0,1286.0,81.13,628.0,844.0,74.41,187.0,308.0,60.71,0.04,0.25,0.25,-0.0,1.83,2.91,1.68,0.24,4.95,35.33,33.16,1.96,0.32,0.63,0.28,1.85,0.26,0.15,0.09,0.05,0.0,25.15,0.2,1.54,,0.91,,6.9,,-0.5,-0.7999999999999998,36.23,0.15,0.0,0.0,0.96,1.4,0.53,0.28,0.48,0.01,0.01,3.74,0.81,1.45,0.82,0.24,0.4,0.18,0.31,1.0,0.69,0.51,0.05,1.1,0.42,0.0,31.04,4,0,0,0,0,4
4,1902,Fabián Ruiz Peña,es ESP,MF,Paris S-G+Napoli,fr Ligue 1+it Serie A,27.0,1996.0,110.0,90.0,7805,86.7,0.16,0.27,0.16,0.27,0.09,0.19,0.09,0.19,102.0,70.0,68.63,30.0,29.41,87.57,2.74,17.43,51.56,19.34,1.57,87.57,1.18,0.81,0.35,61.57,277.91,134.09,1.89,1.8,0.23,0.97,0.58,69.45,3.24,3.09,0.39,2.71,0.04,0.08,0.16,0.05,2.71,0.34,0.01,0.02,0.0,0.02,0.0,6079.0,6757.0,89.97,99563.0,24491.0,3261.0,3490.0,93.46,2146.0,2329.0,92.14,571.0,707.0,80.76,0.02,0.09,0.12,0.01,1.19,7.16,1.22,0.08,7.38,77.94,75.67,2.11,1.72,0.13,1.04,0.74,0.23,0.15,0.05,0.05,0.0,70.12,0.15,1.04,,0.5,,6.93,,5.9,5.9,48.83,0.07,0.0,0.0,0.65,0.77,0.08,0.98,1.28,0.0,0.03,7.04,0.36,0.37,2.37,1.03,1.05,0.29,1.35,2.9,1.54,1.13,0.08,3.35,1.21,0.04,45.19,4,0,0,2,2,0
5,1902,Yannick Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,29.0,1994.0,103.0,71.0,6388,70.9,0.16,0.31,0.16,0.31,0.19,0.29,0.19,0.29,67.0,32.0,47.76,33.0,49.25,47.79,1.82,9.55,24.91,13.77,2.61,47.79,0.94,0.45,0.46,25.16,125.71,58.48,1.65,1.16,0.29,1.54,0.87,29.37,4.48,2.1,0.28,1.65,0.08,0.02,0.15,0.17,1.65,0.24,0.0,0.0,0.03,0.01,0.0,1936.0,2631.0,73.58,30543.0,10237.0,1038.0,1246.0,82.2,741.0,943.0,78.58,116.0,230.0,50.43,0.0,0.11,0.1,0.05,0.9,2.65,0.71,0.18,3.82,37.11,34.91,2.0,0.38,0.13,0.17,1.45,1.07,0.2,0.16,0.03,0.0,27.31,0.2,1.24,,0.48,,5.7,,-2.4,-2.4,45.05,0.17,0.0,0.0,1.18,1.15,0.14,0.83,1.11,0.0,0.01,5.09,1.41,1.73,1.99,0.72,0.94,0.33,0.86,1.98,1.11,1.34,0.17,2.82,1.36,0.01,43.32,4,0,0,0,0,4
6,1902,Aridane Hernández,es ESP,DF,Rayo Vallecano+Osasuna,es La Liga,34.0,1989.0,79.0,73.0,6488,72.1,0.0,0.01,0.0,0.01,0.01,0.03,0.01,0.03,17.0,14.0,82.35,2.0,11.76,49.24,7.36,27.22,21.23,1.04,0.46,49.24,0.24,0.19,0.03,23.9,107.6,46.91,0.14,0.14,0.01,0.4,0.13,25.14,0.01,0.53,0.03,0.42,0.03,0.01,0.01,0.03,0.42,0.01,0.01,0.0,0.0,0.0,0.0,2307.0,2813.0,82.01,47358.0,15198.0,692.0,778.0,87.7,1212.0,1377.0,88.02,340.0,538.0,63.2,0.0,0.02,0.02,-0.0,0.17,1.72,0.08,0.01,1.95,39.01,37.17,1.76,1.65,0.0,0.44,0.01,0.1,0.0,0.0,0.0,0.0,32.0,0.08,0.21,,0.01,,0.0,,-0.6,-0.6,61.89,0.11,0.01,0.0,0.69,0.65,0.04,1.3,0.6,0.0,0.01,5.42,1.97,1.22,0.88,0.63,0.22,0.03,0.36,0.82,0.46,1.17,0.85,2.18,5.39,0.04,45.92,4,0,4,0,0,0
7,1902,Leroy Sané,de GER,FW,Bayern Munich,de Bundesliga,28.0,1996.0,119.0,82.0,7717,85.80000000000001,0.34,0.74,0.34,0.74,0.42,0.74,0.42,0.74,510.0,281.0,55.1,215.0,42.16,59.09,0.41,4.61,23.02,32.64,5.51,59.09,5.94,3.27,2.51,39.27,274.03,129.6,3.97,3.08,1.56,2.96,2.23,46.17,10.37,4.83,0.76,3.51,0.39,0.42,0.31,0.14,3.51,0.59,0.03,0.03,0.08,0.01,0.01,3089.0,3888.0,79.45,44592.0,11240.0,1990.0,2272.0,87.32,917.0,1124.0,81.58,192.0,324.0,59.26,0.13,0.32,0.33,0.07,2.14,2.4,1.86,0.17,5.03,45.31,42.76,2.4,0.31,0.28,0.18,2.49,0.42,1.36,0.63,0.49,0.02,36.0,0.15,1.12,,1.27,,5.72,,-6.800000000000001,-6.800000000000001,37.94,0.15,0.0,0.0,0.93,1.04,0.35,0.34,0.75,0.01,0.0,5.04,0.22,0.36,1.15,0.28,0.63,0.24,0.52,1.26,0.75,0.72,0.02,1.49,0.16,0.05,38.29,4,0,0,0,0,4
8,1902,Jude Bellingham,eng ENG,"MF,FW",Real Madrid+Dortmund,es La Liga+de Bundesliga,20.0,2003.0,114.0,103.0,9045,100.5,0.28,0.46,0.26,0.44,0.25,0.43,0.24,0.41,373.0,208.0,55.76,131.0,35.12,67.95,1.33,10.15,37.63,20.9,3.51,67.93,3.71,2.07,1.3,42.79,222.91,106.14,2.71,1.91,0.78,2.34,1.83,52.33,4.96,3.45,0.51,2.55,0.0,0.38,0.18,0.29,2.55,0.37,0.0,0.06,0.02,0.04,0.02,4509.0,5402.0,83.47,72754.0,20170.0,2575.0,2870.0,89.07,1575.0,1801.0,87.45,398.0,553.0,71.97,0.03,0.16,0.16,0.01,1.23,4.76,1.42,0.08,6.4,53.75,52.06,1.43,0.87,0.4,0.67,0.83,0.34,0.03,0.01,0.0,0.0,44.87,0.26,1.07,,0.7,,9.74,,2.2,1.7999999999999998,47.44,0.28,0.02,0.01,1.45,2.78,0.13,1.19,1.32,0.02,0.01,5.89,1.1,1.24,2.07,0.64,1.08,0.35,0.84,1.74,0.9,1.78,0.18,3.26,0.86,0.0,48.06,4,0,1,0,0,3
9,1902,Ben White,eng ENG,DF,Arsenal+Brighton,eng Premier League,26.0,1997.0,132.0,128.0,11170,124.1,0.03,0.09,0.03,0.09,0.03,0.09,0.03,0.09,95.0,48.0,50.53,40.0,42.11,68.82,4.56,23.25,34.06,11.99,1.05,68.82,0.77,0.39,0.32,39.82,184.21,105.84,1.44,0.99,0.13,0.69,0.27,46.63,2.3,1.43,0.19,1.21,0.09,0.03,0.04,0.02,1.21,0.16,0.01,0.02,0.01,0.0,0.0,6258.0,7461.0,83.88,108828.0,39022.0,2676.0,2968.0,90.49,3003.0,3369.0,89.14,445.0,852.0,52.23,0.02,0.06,0.08,-0.01,0.54,4.91,0.75,0.15,5.2,60.12,55.19,4.82,1.32,0.14,0.46,0.95,3.5,0.0,0.0,0.0,0.0,50.43,0.12,0.55,,0.08,,11.32,,0.5,0.5,53.87,0.14,0.01,0.01,0.72,0.6,0.06,1.21,0.8,0.0,0.01,4.67,1.34,1.15,1.48,0.69,0.62,0.16,0.88,1.64,0.76,1.33,0.59,2.69,2.29,0.02,53.32,4,4,0,0,0,0
