Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
1.0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29.0,1990.0,22.0,20.0,1777,19.7,0.0,0.05,0.0,0.05,0.07,0.11,0.07,0.11,22.0,10.0,45.5,12.0,54.5,68.68,3.1,21.32,31.07,16.7,1.88,68.68,1.12,0.51,0.61,36.95,172.89,82.34,1.93,1.47,0.46,1.22,0.3,40.61,4.42,1.52,0.15,1.37,0.1,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,906.0,1164.0,77.8,13287.0,5990.0,545.0,613.0,88.9,284.0,361.0,78.7,51.0,105.0,48.6,0.0,0.04,0.09,0.02,0.56,3.6,1.02,0.2,5.23,59.09,48.68,9.75,1.57,0.0,0.2,2.03,8.07,0.1,0.0,0.1,0.0,45.99,0.66,1.32,0.91,0.25,0.0,0.0,0.08,-1.4,-1.4,45.8,0.1,0.0,0.0,0.56,0.15,0.15,1.52,1.12,0.0,0.0,6.9,0.56,0.66,1.78,0.91,0.86,0.0,0.96,2.18,1.22,0.91,0.3,3.3,2.03,0.1,44.2
2.0,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32.0,1987.0,33.0,33.0,2889,32.1,0.09,0.09,0.09,0.09,0.06,0.07,0.06,0.07,16.0,7.0,43.8,9.0,56.3,65.51,7.17,36.14,28.66,1.18,0.72,65.51,0.5,0.22,0.28,39.1,194.39,112.71,0.56,0.16,0.03,0.44,0.37,42.18,0.09,0.53,0.0,0.47,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,1762.0,85.5,30174.0,12190.0,427.0,483.0,88.4,909.0,999.0,91.0,154.0,238.0,64.7,0.0,0.01,0.01,-0.01,0.12,2.37,0.03,0.0,3.08,54.89,52.87,1.87,1.87,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,46.92,0.16,0.31,0.47,0.16,0.2,0.6,0.13,1.1,1.1,63.4,0.12,0.03,0.0,1.15,0.69,0.0,1.9,1.15,0.0,0.03,6.23,2.87,1.65,1.84,1.12,0.72,0.0,0.81,1.31,0.5,1.06,0.47,3.74,4.11,0.0,61.9
4.0,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27.0,1992.0,18.0,15.0,1320,14.7,0.0,0.0,0.0,0.0,0.07,0.12,0.07,0.12,27.0,19.0,70.4,8.0,29.6,57.96,1.56,12.52,36.8,10.14,0.68,57.96,1.84,1.29,0.54,36.19,194.9,91.97,2.18,1.56,0.2,1.56,0.68,38.16,1.09,2.11,0.07,1.22,0.34,0.2,0.07,0.14,0.14,0.07,0.0,0.0,0.0,0.0,0.0,605.0,718.0,84.3,10646.0,2928.0,279.0,298.0,93.6,239.0,266.0,89.8,70.0,116.0,60.3,0.0,0.05,0.05,-0.05,0.82,4.35,0.48,0.27,4.42,48.84,45.03,3.54,2.24,0.0,0.61,2.72,0.34,0.95,0.48,0.48,0.0,41.16,0.27,0.48,1.36,0.0,0.0,0.0,0.05,-1.0,-1.0,41.9,0.34,0.0,0.0,2.11,1.5,0.07,1.36,1.29,0.0,0.0,7.35,0.88,1.22,2.31,1.09,0.95,0.27,1.02,2.04,1.02,0.61,0.14,3.67,0.68,0.0,50.0
5.0,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27.0,1993.0,38.0,32.0,2963,32.9,0.09,0.12,0.09,0.12,0.05,0.1,0.05,0.1,37.0,29.0,78.4,8.0,21.6,58.97,0.94,14.77,36.78,8.51,0.36,58.97,1.12,0.88,0.24,32.67,143.01,65.05,0.97,0.97,0.12,1.61,1.34,39.15,1.06,1.79,0.27,1.37,0.0,0.09,0.18,0.12,0.03,0.18,0.0,0.03,0.03,0.03,0.0,1288.0,1564.0,82.4,22633.0,6551.0,591.0,661.0,89.4,524.0,596.0,87.9,145.0,224.0,64.7,0.0,0.05,0.04,-0.02,0.61,3.5,0.4,0.12,4.19,47.54,46.23,1.16,0.94,0.03,0.33,0.79,0.21,0.0,0.0,0.0,0.0,39.15,0.15,1.03,0.88,0.3,0.1,0.3,0.05,1.5,1.5,34.6,0.15,0.0,0.0,1.34,1.12,0.0,1.4,2.55,0.03,0.0,7.02,0.27,0.52,4.41,1.95,2.1,0.36,1.64,4.92,3.28,1.95,0.18,5.81,0.36,0.0,33.3
6.0,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20.0,2000.0,24.0,9.0,912,10.1,0.3,0.49,0.3,0.49,0.21,0.24,0.21,0.24,24.0,12.0,50.0,12.0,50.0,31.68,0.89,3.76,13.66,14.46,3.56,31.68,2.38,1.19,1.19,16.44,104.55,41.98,1.29,1.49,0.2,3.27,1.98,23.96,4.75,1.38,0.3,1.09,0.0,0.2,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,128.0,202.0,63.4,1703.0,317.0,81.0,111.0,73.0,27.0,44.0,61.4,9.0,17.0,52.9,0.0,0.03,0.03,0.17,0.59,1.09,0.59,0.0,2.08,20.0,19.01,0.99,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,12.67,0.0,0.99,1.87,0.39,0.16,0.75,0.11,0.9,0.9,38.5,0.1,0.0,0.0,1.78,0.69,0.69,0.4,0.2,0.0,0.0,2.57,3.66,5.84,0.79,0.5,0.0,0.3,0.3,1.19,0.89,0.59,0.2,1.19,0.5,0.0,25.0
8.0,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24.0,1995.0,14.0,14.0,1260,14.0,0.0,0.0,0.0,0.0,0.1,0.11,0.1,0.11,4.0,2.0,50.0,2.0,50.0,61.29,8.21,36.0,23.93,1.57,1.14,61.29,0.29,0.14,0.14,31.43,168.36,93.36,0.14,0.14,0.07,0.64,0.0,33.07,0.07,0.64,0.0,0.36,0.07,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,681.0,76.5,11246.0,4984.0,159.0,187.0,85.0,262.0,307.0,85.3,93.0,169.0,55.0,0.0,0.01,0.01,-0.01,0.21,2.21,0.07,0.0,2.21,48.64,46.64,1.93,1.79,0.0,1.29,0.07,0.14,0.0,0.0,0.0,0.0,37.21,0.07,0.14,0.93,0.21,0.0,0.0,0.11,-1.4,-1.4,78.6,0.07,0.0,0.0,0.71,0.64,0.07,1.93,0.93,0.0,0.0,6.93,3.93,1.07,1.07,0.71,0.36,0.0,0.43,0.71,0.29,0.5,0.29,3.0,6.21,0.0,60.0
9.0,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34.0,1986.0,14.0,14.0,1222,13.6,0.07,0.07,0.07,0.07,0.04,0.07,0.04,0.07,5.0,4.0,80.0,1.0,20.0,58.24,3.68,21.54,31.25,6.1,0.59,58.24,0.37,0.29,0.07,26.99,130.59,75.74,0.88,0.59,0.07,0.51,0.07,32.43,1.54,0.37,0.0,0.22,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,678.0,82.3,10633.0,3990.0,214.0,239.0,89.5,280.0,325.0,86.2,60.0,95.0,63.2,0.0,0.03,0.04,-0.03,0.15,3.68,0.22,0.07,4.04,49.85,45.29,4.34,1.25,0.0,0.74,0.96,3.09,0.0,0.0,0.0,0.0,41.03,0.22,0.51,0.74,0.15,0.1,0.5,0.06,0.4,0.4,63.3,0.37,0.07,0.07,0.66,0.44,0.07,1.25,0.88,0.0,0.0,5.59,2.28,1.32,1.32,0.96,0.22,0.15,0.81,1.25,0.44,0.96,0.29,2.57,2.5,0.0,64.7
10.0,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22.0,1997.0,22.0,12.0,1040,11.6,0.52,0.61,0.52,0.61,0.51,0.57,0.51,0.57,18.0,6.0,33.3,12.0,66.7,30.86,1.72,3.02,14.74,13.28,5.26,30.86,1.55,0.52,1.03,13.28,59.83,22.93,1.03,0.43,0.69,2.84,0.6,20.6,5.69,1.47,0.17,0.78,0.0,0.17,0.34,0.17,0.0,0.09,0.0,0.0,0.0,0.09,0.0,149.0,211.0,70.6,1714.0,297.0,85.0,111.0,76.6,33.0,46.0,71.7,4.0,8.0,50.0,0.0,0.06,0.02,0.03,0.78,1.21,0.09,0.0,0.95,18.19,16.81,1.38,0.17,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,12.84,0.0,0.78,2.77,1.13,0.19,0.46,0.18,0.1,0.1,57.6,0.0,0.0,0.0,1.9,1.03,0.34,0.43,0.43,0.09,0.0,2.41,3.28,2.41,0.6,0.26,0.26,0.09,0.09,0.6,0.52,0.52,0.0,1.03,1.47,0.0,14.3
13.0,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32.0,1988.0,32.0,32.0,2813,31.3,0.0,0.03,0.0,0.03,0.03,0.07,0.03,0.07,8.0,6.0,75.0,2.0,25.0,77.64,9.87,35.85,36.29,6.1,0.7,77.64,0.26,0.19,0.06,45.05,276.33,157.76,1.31,1.34,0.06,0.67,0.32,50.0,1.47,0.99,0.16,0.83,0.03,0.0,0.06,0.0,0.06,0.16,0.0,0.0,0.0,0.0,0.0,1854.0,2097.0,88.4,35641.0,11589.0,703.0,767.0,91.7,880.0,930.0,94.6,248.0,352.0,70.5,0.0,0.03,0.04,0.0,0.32,3.51,0.67,0.32,4.5,67.0,63.07,3.8,2.33,0.0,0.77,1.02,0.7,0.0,0.0,0.0,0.0,59.23,0.13,0.35,0.29,0.0,0.0,0.0,0.12,-1.1,-1.1,71.3,0.29,0.03,0.03,0.99,0.77,0.06,2.43,1.02,0.0,0.0,7.25,1.98,0.8,1.63,1.09,0.42,0.13,0.58,1.28,0.7,0.77,0.48,4.06,3.87,0.06,45.0
15.0,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28.0,1991.0,30.0,26.0,2330,25.9,0.04,0.12,0.04,0.12,0.04,0.14,0.04,0.14,61.0,41.0,67.2,20.0,32.8,77.95,2.36,25.52,33.9,19.38,1.16,77.95,2.36,1.58,0.77,42.59,220.89,125.17,2.51,1.93,0.46,1.54,1.12,51.35,5.14,2.63,0.31,1.81,0.46,0.23,0.08,0.0,0.04,0.19,0.08,0.0,0.04,0.0,0.0,1415.0,1767.0,80.1,24839.0,9704.0,675.0,730.0,92.5,542.0,639.0,84.8,159.0,310.0,51.3,0.0,0.1,0.11,-0.02,1.24,4.02,1.35,0.73,4.4,68.22,57.41,10.69,1.78,0.0,0.81,4.59,7.95,0.97,0.08,0.77,0.0,54.63,0.12,1.16,0.7,0.08,0.06,0.5,0.05,0.0,0.0,37.7,0.19,0.0,0.0,1.74,1.24,0.08,0.89,1.62,0.0,0.08,6.18,0.77,1.27,2.39,1.31,0.77,0.31,0.89,1.58,0.69,0.89,0.08,3.28,1.16,0.04,56.1
