,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga,Goal_Creating_Action_per90
0,Juan Musso,ar ARG,GK,Atalanta+Udinese,it Serie A,29.0,1994.0,103.0,103.0,9146.0,101.7,132.0,1.3,391.0,265.0,68.0,44.0,23.0,36.0,29.0,28.000000000000004,21.0,20.0,0.0,1.0,0.0,2.0,9.0,6.0,120.0,0.31,-6.0,-0.06,461.0,1124.0,41.0,2350.0,563.0,31.0,31.48,689.0,56.99999999999999,45.4,1155.0,78.0,7.000000000000001,97.0,0.95,62.099999999999994,390.0,727.0,2275.0,2405.0,75.0,63411.0,44761.0,415.0,415.0,100.0,1076.0,1093.0,98.0,763.0,1505.0,51.0,,0.1,0.0,-0.1,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.05,,2774.0,3230.0,25.0,3253.0,1873.0,1359.0,27.28,31.76,0.25,31.99,18.42,13.36,4,0,0,4,0,0,0.0
1,Alisson,br BRA,GK,Liverpool,eng Premier League,30.0,1992.0,134.0,134.0,12060.0,134.0,129.0,0.96,470.0,343.0,73.0,80.0,32.0,22.0,52.0,39.0,13.0,7.0,2.0,4.0,15.0,1.0,11.0,4.0,139.2,0.3,14.2,0.11,364.0,918.0,40.0,4473.0,726.0,16.0,25.9,654.0,28.999999999999996,32.1,1377.0,78.0,6.0,298.0,2.22,74.80000000000001,192.0,720.0,4440.0,5125.0,86.0,101510.0,64152.0,1043.0,1049.0,99.0,2518.0,2562.0,98.0,860.0,1492.0,57.99999999999999,,0.5,0.0,1.5,3.0,44.0,2.0,0.0,10.0,4.0,18.0,0.13,,3851.0,5319.0,124.0,5440.0,3417.0,3170.0,28.74,39.69,0.93,40.6,25.5,23.66,4,4,0,0,0,0,0.03
2,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31.0,1992.0,119.0,119.0,10710.0,119.0,160.0,1.34,488.0,329.0,67.0,49.0,31.0,39.0,40.0,34.0,21.0,12.0,5.0,4.0,24.0,1.0,13.0,6.0,155.0,0.32,0.9999999999999999,0.01,774.0,1810.0,43.0,4033.0,602.0,33.0,33.4,826.0,57.99999999999999,46.6,1687.0,110.0,7.000000000000001,176.0,1.48,64.3,482.0,1327.0,3702.0,4562.0,76.0,108943.0,75476.0,558.0,561.0,99.0,1715.0,1737.0,99.0,1422.0,2550.0,56.00000000000001,,0.8999999999999999,0.30000000000000004,0.09999999999999998,2.0,96.0,0.0,0.0,4.0,5.0,21.0,0.18,,3935.0,5069.0,47.0,5111.0,3099.0,2732.0,33.07,42.6,0.39,42.95,26.04,22.96,4,0,0,0,0,4,0.04
3,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28.0,1995.0,148.0,148.0,13265.0,147.4,141.0,0.96,480.0,339.0,71.0,69.0,42.0,37.0,63.0,43.0,18.0,13.0,4.0,1.0,22.0,2.0,17.0,4.0,137.1,0.29,0.09999999999999964,0.0,825.0,1998.0,41.0,4193.0,506.0,35.0,33.98,837.0,62.0,49.25,1716.0,63.0,4.0,196.0,1.33,66.5,517.0,1477.0,3727.0,5088.0,74.0,107418.0,78401.0,626.0,630.0,99.0,1785.0,1822.0,98.0,1313.0,2574.0,51.0,,0.0,0.30000000000000004,0.0,2.0,75.0,0.0,0.0,3.0,0.0,19.0,0.13,,4593.0,5307.0,42.0,5349.0,2978.0,2598.0,31.16,36.0,0.28,36.29,20.2,17.63,4,0,4,0,0,0,0.0
4,Marco Silvestri,it ITA,GK,Udinese+Hellas Verona,it Serie A,32.0,1991.0,124.0,124.0,11160.0,124.0,168.0,1.35,477.0,314.0,66.0,33.0,47.0,44.0,28.0,23.0,27.0,23.0,0.0,4.0,0.0,3.0,15.0,5.0,156.5,0.33,-6.5,-0.05,559.0,1657.0,34.0,2588.0,393.0,44.0,36.02,925.0,55.00000000000001,43.15,1735.0,43.0,2.0,58.0,0.47,48.699999999999996,508.0,1145.0,2322.0,3021.0,66.0,66962.0,52969.0,472.0,474.0,100.0,1067.0,1084.0,98.0,773.0,1942.0,40.0,,0.0,0.1,0.0,2.0,43.0,0.0,0.0,0.0,0.0,12.0,0.1,,3395.0,3816.0,5.0,3821.0,1843.0,1497.0,27.38,30.77,0.04,30.81,14.86,12.07,4,0,0,4,0,0,0.0
5,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32.0,1990.0,135.0,135.0,12008.0,133.4,176.0,1.32,568.0,397.0,70.0,68.0,29.0,38.0,35.0,26.0,24.0,19.0,3.0,2.0,12.0,6.0,24.0,8.0,163.89999999999998,0.29,-4.1,-0.03,509.0,1280.0,40.0,3521.0,636.0,28.000000000000004,30.98,847.0,33.0,33.22,1707.0,82.0,5.0,141.0,1.06,59.2,281.0,998.0,3487.0,4225.0,80.0,90722.0,62997.0,646.0,649.0,100.0,1823.0,1837.0,99.0,1005.0,1865.0,54.0,,0.3,0.30000000000000004,-0.3,1.0,33.0,2.0,0.0,11.0,5.0,14.0,0.1,,3886.0,4621.0,61.0,4681.0,2939.0,2216.0,29.13,34.64,0.46,35.09,22.03,16.61,4,0,0,0,4,0,0.04
6,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,28.0,1994.0,119.0,119.0,10710.0,119.0,175.0,1.47,499.0,325.0,65.0,37.0,35.0,47.0,29.0,24.0,20.0,15.0,2.0,3.0,10.0,3.0,11.0,3.0,164.6,0.33,-7.3999999999999995,-0.06,591.0,1828.0,32.0,3124.0,657.0,43.0,37.08,857.0,56.99999999999999,46.48,1607.0,146.0,9.0,206.0,1.73,65.8,486.0,1338.0,2089.0,3189.0,65.0,63176.0,47532.0,360.0,365.0,99.0,912.0,938.0,97.0,812.0,1898.0,43.0,,0.2,0.4,-0.2,3.0,63.0,1.0,0.0,7.0,2.0,19.0,0.16,,2785.0,3397.0,50.0,3457.0,1918.0,1398.0,23.4,28.55,0.42,29.05,16.12,11.75,4,0,0,0,0,4,0.02
7,Nick Pope,eng ENG,GK,Newcastle Utd+Burnley,eng Premier League,31.0,1992.0,120.0,120.0,10726.0,119.10000000000001,132.0,1.11,490.0,359.0,73.0,45.0,38.0,37.0,39.0,32.0,13.0,10.0,2.0,1.0,15.0,2.0,20.0,3.0,132.6,0.27,3.6000000000000005,0.03,734.0,1992.0,37.0,2504.0,603.0,53.0,38.53,836.0,80.0,53.65,1682.0,121.0,7.000000000000001,255.0,2.14,72.69999999999999,666.0,1323.0,1982.0,2776.0,59.0,69948.0,56412.0,250.0,257.0,97.0,715.0,740.0,97.0,1010.0,2333.0,43.0,,0.30000000000000004,0.30000000000000004,-0.30000000000000004,6.0,104.0,4.0,0.0,2.0,0.0,15.0,0.13,,2905.0,3608.0,78.0,3680.0,1768.0,1134.0,24.39,30.29,0.65,30.9,14.84,9.52,4,4,0,0,0,0,0.0
8,Rui Patrício,pt POR,GK,Roma+Wolves,it Serie A+eng Premier League,35.0,1988.0,133.0,133.0,11969.0,133.0,156.0,1.17,476.0,325.0,68.0,58.0,31.0,44.0,44.0,33.0,20.0,16.0,3.0,1.0,15.0,4.0,19.0,8.0,138.5,0.29,-9.5,-0.07,559.0,1315.0,43.0,2530.0,494.0,38.0,33.58,867.0,41.0,34.5,1662.0,65.0,4.0,71.0,0.53,50.4,358.0,954.0,2560.0,3228.0,75.0,70793.0,49921.0,533.0,535.0,100.0,1110.0,1125.0,99.0,897.0,1715.0,52.0,,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,11.0,0.08,,3267.0,3592.0,5.0,3597.0,1832.0,1388.0,24.56,27.01,0.04,27.05,13.77,10.44,4,1,0,3,0,0,0.0
9,Ivan Provedel,it ITA,GK,Lazio+Spezia,it Serie A,29.0,1994.0,128.0,127.0,11483.0,127.6,170.0,1.33,543.0,376.0,69.0,48.0,29.0,50.0,41.0,32.0,23.0,18.0,1.0,4.0,4.0,4.0,14.0,4.0,158.3,0.29,-7.7,-0.06,650.0,1730.0,38.0,4163.0,534.0,33.0,34.33,760.0,47.0,40.98,1644.0,73.0,4.0,144.0,1.13,58.5,357.0,1369.0,3674.0,4566.0,74.0,104547.0,72933.0,635.0,639.0,99.0,1520.0,1557.0,98.0,1503.0,2710.0,55.00000000000001,,0.0,0.2,0.0,1.0,72.0,3.0,0.0,5.0,2.0,13.0,0.1,,4347.0,5220.0,51.0,5269.0,3119.0,2825.0,34.07,40.91,0.4,41.29,24.44,22.14,4,0,0,4,0,0,0.02
