,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
1,1,1,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0,0,1,0,12.3,0.29,-0.7,-0.06,54,147,36.7,321,54,27.4,30.3,70,84.3,54.9,146,8,5.5,24,2.0,19.1,59,87,287,391,73.4,7942,5718,48,48,100.0,149,151,98.7,89,191,46.6,,0.0,0.0,0.0,0,2,0,0,1,1,1,0.08,0.08,334,415,4,419,272,209,27.83,34.58,0.33,34.92,22.67,17.42
2,2,2,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,0.0,0,3,1,24.4,0.25,1.4,0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,340,22,6.5,89,2.47,18.7,56,200,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9,,0.2,0.0,0.8,1,16,1,0,1,1,2,0.06,0.03,1042,1452,17,1469,873,836,28.94,40.33,0.47,40.81,24.25,23.22
6,6,6,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,48,1.69,130,82,63.8,8,5,16,5,17.2,2,1,1,0,50.0,1,4,1,43.1,0.32,-3.9,-0.14,203,472,43.0,786,120,41.7,36.3,212,67.9,47.6,418,22,5.3,25,0.88,13.5,143,327,706,1005,70.2,22466,16952,105,105,100.0,288,297,97.0,311,593,52.4,,0.5,0.1,-0.5,2,20,1,0,0,0,5,0.18,0.0,953,1074,2,1076,593,501,33.56,37.82,0.07,37.89,20.88,17.64
7,7,7,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0,1,3,2,23.2,0.3,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,187,7,3.7,12,1.0,16.1,58,147,216,364,59.3,7080,5483,19,19,100.0,104,109,95.4,93,234,39.7,,0.0,0.0,0.0,0,9,0,0,0,0,0,0.0,0.0,325,399,2,401,214,148,27.08,33.25,0.17,33.42,17.83,12.33
8,8,8,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24.0,35,1.46,114,78,75.4,8,5,11,5,20.8,9,7,1,1,12.5,0,5,0,37.3,0.26,2.3,0.1,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2,149,258,565,830,68.1,18595,14474,77,78,98.7,229,233,98.3,257,514,50.0,,0.0,0.0,0.0,0,11,0,0,0,0,0,0.0,0.0,799,900,4,904,425,310,33.29,37.5,0.17,37.67,17.71,12.92
12,12,12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7,52,339,1225,1523,80.4,28367,18814,366,367,99.7,589,595,99.0,258,541,47.7,,0.0,0.1,0.0,0,18,0,0,0,0,2,0.06,0.0,1277,1592,23,1609,1005,895,38.7,48.24,0.7,48.76,30.45,27.12
14,14,14,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,1938,21.5,49,2.28,135,87,65.9,3,2,16,1,4.8,5,3,1,1,25.0,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7,133,206,367,575,63.8,13133,11059,48,48,100.0,130,134,97.0,187,389,48.1,,0.0,0.1,0.0,0,16,1,0,0,0,1,0.05,0.0,562,628,1,629,308,180,26.14,29.21,0.05,29.26,14.33,8.37
15,15,15,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0,1,1,0,42.6,0.27,7.6,0.21,145,378,38.4,774,169,30.2,30.5,260,55.4,43.0,503,31,6.2,33,0.89,13.6,144,233,777,1036,75.0,20536,15856,213,213,100.0,330,337,97.9,232,481,48.2,,0.0,0.1,0.0,0,6,1,0,0,1,3,0.08,0.03,920,1100,3,1103,651,427,24.86,29.73,0.08,29.81,17.59,11.54
17,17,17,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10.0,8,0.8,41,32,85.4,3,4,3,4,40.0,3,2,1,0,33.3,0,0,0,10.2,0.18,2.2,0.22,53,188,28.2,240,37,50.0,39.4,78,87.2,58.6,148,7,4.7,10,1.0,14.6,68,120,176,319,55.2,5860,4579,23,24,95.8,79,79,100.0,74,215,34.4,,0.0,0.0,0.0,0,6,0,0,0,0,0,0.0,0.0,289,344,1,345,183,118,28.9,34.4,0.1,34.5,18.3,11.8
19,19,21,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,38,3420,38.0,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0,0,8,2,51.0,0.28,-4.0,-0.1,290,624,46.5,877,205,43.1,37.4,328,75.0,53.1,541,16,3.0,34,0.89,14.1,246,377,851,1207,70.5,29158,23011,86,86,100.0,371,376,98.7,393,742,53.0,,0.1,0.1,0.9,2,22,0,0,0,2,6,0.16,0.05,1161,1312,4,1317,698,450,30.55,34.53,0.11,34.66,18.37,11.84
