,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
2,2,2,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,0.0,3.0,3.0,52.1,0.24,2.1,0.07,160.0,430.0,37.2,643.0,144.0,43.9,36.8,219.0,67.6,47.3,468.0,27.0,5.8,7.0,0.23,8.9,148,282,562.0,867.0,64.8,17799.0,12917.0,74.0,76.0,97.4,245.0,246.0,99.6,241.0,538.0,44.8,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.07,0.0,835.0,969.0,7.0,976.0,498.0,345.0,27.83,32.3,0.23,32.53,16.6,11.5
5,5,5,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,485.0,31.0,6.4,30.0,0.88,13.6,161,406,982.0,1392.0,70.5,28328.0,20599.0,171.0,173.0,98.8,468.0,474.0,98.7,343.0,741.0,46.3,0,0.0,0.2,0.0,0.0,33.0,2.0,0.0,1.0,0.0,4.0,0.12,0.0,1103.0,1440.0,22.0,1461.0,835.0,729.0,32.44,42.35,0.65,42.97,24.56,21.44
8,8,8,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,0.0,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2,95,259,445.0,689.0,64.6,14317.0,11262.0,73.0,73.0,100.0,196.0,198.0,99.0,176.0,416.0,42.3,0,0.0,0.1,0.0,1.0,26.0,0.0,0.0,1.0,0.0,6.0,0.35,0.0,581.0,719.0,14.0,734.0,408.0,301.0,34.18,42.29,0.82,43.18,24.0,17.71
11,11,11,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,0.0,1.0,1.0,19.8,0.25,-5.2,-0.35,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4,22,160,352.0,504.0,69.8,9261.0,5681.0,63.0,63.0,100.0,189.0,196.0,96.4,97.0,238.0,40.8,0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.07,0.0,413.0,540.0,3.0,542.0,415.0,300.0,27.53,36.0,0.2,36.13,27.67,20.0
13,13,13,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4,45,139,339.0,494.0,68.6,8491.0,5766.0,73.0,73.0,100.0,184.0,188.0,97.9,81.0,228.0,35.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.14,0.0,456.0,530.0,2.0,532.0,314.0,245.0,32.57,37.86,0.14,38.0,22.43,17.5
22,22,22,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23,1999,34,34,3060,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5,0.0,1.0,1.0,30.7,0.22,2.7,0.08,74.0,189.0,39.2,1086.0,158.0,14.4,23.9,147.0,22.4,25.5,376.0,32.0,8.5,21.0,0.62,12.2,32,156,1060.0,1235.0,85.8,21917.0,13487.0,351.0,355.0,98.9,500.0,513.0,97.5,185.0,337.0,54.9,0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.09,0.0,1071.0,1285.0,4.0,1292.0,1062.0,798.0,31.5,37.79,0.12,38.0,31.24,23.47
23,23,23,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23,23,2070,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,4,1,0,20.0,0.0,5.0,0.0,27.6,0.22,0.6,0.02,117.0,350.0,33.4,657.0,137.0,40.3,36.8,159.0,53.5,45.1,391.0,31.0,7.9,20.0,0.87,13.3,85,264,555.0,820.0,67.7,16234.0,12618.0,69.0,71.0,97.2,296.0,304.0,97.4,190.0,441.0,43.1,0,0.3,0.0,-0.3,2.0,13.0,0.0,0.0,0.0,0.0,8.0,0.35,0.0,716.0,889.0,7.0,895.0,469.0,408.0,31.13,38.65,0.3,38.91,20.39,17.74
38,38,38,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25,1998,31,31,2790,31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2,0.0,10.0,2.0,49.3,0.26,-0.7,-0.02,169.0,450.0,37.6,1151.0,92.0,30.8,32.4,187.0,51.3,44.3,484.0,28.0,5.8,50.0,1.61,15.0,95,354,1025.0,1345.0,76.2,27889.0,18248.0,166.0,168.0,98.8,556.0,566.0,98.2,299.0,600.0,49.8,0,0.1,0.2,-0.1,1.0,44.0,1.0,0.0,3.0,0.0,10.0,0.32,0.0,903.0,1394.0,44.0,1437.0,889.0,764.0,29.13,44.97,1.42,46.35,28.68,24.65
40,40,40,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29,1994,33,33,2970,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0,0.0,5.0,2.0,47.0,0.3,6.0,0.18,155.0,454.0,34.1,719.0,135.0,46.9,37.1,222.0,52.7,39.1,470.0,32.0,6.8,24.0,0.73,12.5,116,337,611.0,945.0,64.7,17763.0,13674.0,112.0,112.0,100.0,258.0,261.0,98.9,230.0,555.0,41.4,0,0.4,0.1,-0.4,1.0,15.0,1.0,0.0,0.0,0.0,4.0,0.12,0.0,830.0,1014.0,6.0,1020.0,644.0,376.0,25.15,30.73,0.18,30.91,19.52,11.39
50,50,50,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34,1989,23,22,1985,22.1,42,1.9,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0,0.0,5.0,0.0,42.5,0.29,0.5,0.02,56.0,165.0,33.9,480.0,143.0,15.6,25.4,169.0,53.3,39.1,296.0,20.0,6.8,22.0,1.0,12.9,90,74,519.0,651.0,79.7,11869.0,6941.0,133.0,135.0,98.5,273.0,278.0,98.2,109.0,232.0,47.0,0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,702.0,7.0,709.0,378.0,260.0,27.33,31.76,0.32,32.08,17.1,11.76
