,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga,Goal_Creating_Action_per90
0,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-281,1990.0,122.0,122.0,10980.0,122.0,209.0,1.71,589.0,379.0,64.0,41.0,27.0,54.0,20.0,16.0,21.0,12.0,6.0,3.0,28.999999999999996,3.0,29.0,5.0,199.1,0.34,-4.8999999999999995,-0.04,618.0,1686.0,37.0,4405.0,650.0,30.0,31.2,853.0,40.0,36.33,1752.0,107.0,6.0,212.0,1.74,65.3,342.0,1339.0,4083.0,4908.0,77.0,102161.0,71630.0,1055.0,1057.0,100.0,1917.0,1940.0,99.0,1064.0,2209.0,48.0,,0.2,0.4,0.8,3.0,80.0,3.0,0.0,4.0,2.0,11.0,0.09,,4413.0,5531.0,77.0,5600.0,3292.0,2908.0,36.17,45.34,0.63,45.9,26.98,23.84,4,0,0,0,0,4,0.02
1,Gregor Kobel,ch SUI,GK,Dortmund+Stuttgart,de Bundesliga,26-094,1997.0,109.0,109.0,9700.0,107.8,150.0,1.39,480.0,332.0,69.0,60.0,22.0,27.0,29.0,27.0,17.0,14.0,3.0,0.0,18.0,3.0,18.0,5.0,152.5,0.32,7.5,0.07,396.0,1013.0,39.0,3361.0,552.0,23.0,28.25,781.0,32.0,33.95,1368.0,54.0,4.0,141.0,1.31,61.6,249.0,761.0,3441.0,3785.0,83.0,82280.0,53597.0,906.0,906.0,100.0,1683.0,1700.0,99.0,809.0,1490.0,54.0,,0.1,0.2,-0.1,1.0,44.0,3.0,0.0,1.0,1.0,12.0,0.11,,3577.0,4403.0,23.0,4425.0,2576.0,2295.0,33.18,40.84,0.21,41.05,23.9,21.29,4,0,0,0,0,4,0.01
2,Unai Simón,es ESP,GK,Athletic Club,es La Liga,26-272,1997.0,129.0,129.0,11565.0,128.5,134.0,1.04,419.0,290.0,69.0,51.0,38.0,40.0,43.0,33.0,13.0,11.0,2.0,0.0,15.0,2.0,11.0,7.0,128.1,0.31,1.0999999999999996,0.01,659.0,1738.0,38.0,2999.0,656.0,38.0,35.35,877.0,67.0,51.22,1758.0,93.0,5.0,149.0,1.16,65.5,589.0,1145.0,2668.0,3756.0,69.0,80377.0,61992.0,414.0,417.0,99.0,1287.0,1314.0,98.0,963.0,2138.0,45.0,,0.0,0.2,0.0,2.0,71.0,3.0,0.0,4.0,1.0,18.0,0.14,,3318.0,4064.0,26.0,4088.0,2189.0,1653.0,25.82,31.63,0.2,31.81,17.04,12.86,4,0,4,0,0,0,0.01
3,Pau López,es ESP,GK,Marseille+Roma,fr Ligue 1+it Serie A,29-087,1994.0,106.0,104.0,9391.0,104.4,118.0,1.13,379.0,265.0,70.0,55.0,23.0,26.0,30.0,28.000000000000004,12.0,12.0,0.0,0.0,0.0,2.0,21.0,4.0,109.79999999999998,0.29,-4.199999999999999,-0.04,313.0,944.0,33.0,3380.0,463.0,22.0,28.72,537.0,39.0,35.52,1095.0,57.0,5.0,131.0,1.25,66.7,209.0,732.0,3185.0,4068.0,81.0,76884.0,48669.0,698.0,701.0,100.0,1715.0,1737.0,99.0,755.0,1460.0,52.0,,1.1,0.4,1.9000000000000001,5.0,48.0,2.0,0.0,5.0,4.0,24.0,0.23,,2715.0,3999.0,128.0,4125.0,2879.0,2343.0,26.01,38.3,1.23,39.51,27.58,22.44,4,0,0,1,3,0,0.04
4,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,31-025,1993.0,128.0,128.0,11508.0,127.9,180.0,1.41,590.0,407.0,69.0,29.0,46.0,53.0,38.0,30.0,33.0,29.0,4.0,0.0,12.0,3.0,22.0,1.0,180.8,0.31,1.8,0.01,1082.0,2933.0,37.0,3028.0,398.0,65.0,46.3,1095.0,88.0,62.98,2085.0,154.0,7.000000000000001,106.0,0.83,46.599999999999994,968.0,1961.0,2173.0,3988.0,53.0,88977.0,77471.0,200.0,205.0,98.0,664.0,687.0,97.0,1302.0,3215.0,40.0,,0.1,0.4,-0.1,4.0,172.0,3.0,0.0,1.0,3.0,32.0,0.25,,3661.0,4470.0,42.0,4513.0,2142.0,1344.0,28.62,34.95,0.33,35.29,16.75,10.51,4,0,4,0,0,0,0.02
5,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,28-351,1995.0,137.0,137.0,12275.0,136.4,131.0,0.96,442.0,312.0,71.0,63.0,40.0,34.0,58.0,42.0,14.0,10.0,3.0,1.0,21.0,2.0,17.0,4.0,124.39999999999999,0.28,-2.6,-0.02,773.0,1856.0,42.0,3866.0,481.0,35.0,33.78,793.0,61.0,49.05,1628.0,59.0,4.0,183.0,1.34,66.89999999999999,487.0,1366.0,3456.0,4344.0,74.0,99716.0,72803.0,579.0,583.0,99.0,1649.0,1686.0,98.0,1225.0,2386.0,51.0,,0.0,0.2,0.0,2.0,68.0,0.0,0.0,3.0,0.0,15.0,0.11,,4260.0,4911.0,36.0,4947.0,2759.0,2383.0,31.23,36.0,0.26,36.27,20.23,17.47,4,0,4,0,0,0,0.0
6,Rui Silva,pt POR,GK,Betis+Granada,es La Liga,30-031,1994.0,98.0,97.0,8759.0,97.3,127.0,1.31,393.0,264.0,67.0,41.0,21.0,35.0,33.0,34.0,20.0,14.0,5.0,1.0,25.0,3.0,13.0,3.0,124.9,0.32,0.9000000000000004,0.01,593.0,1651.0,36.0,2548.0,352.0,45.0,36.48,778.0,65.0,46.85,1410.0,70.0,5.0,145.0,1.49,65.8,506.0,1142.0,2159.0,2907.0,65.0,66397.0,50433.0,351.0,354.0,99.0,928.0,948.0,98.0,869.0,2011.0,43.0,,0.0,0.30000000000000004,0.0,1.0,59.0,1.0,0.0,0.0,1.0,8.0,0.08,,2933.0,3520.0,16.0,3535.0,1730.0,1342.0,30.14,36.18,0.16,36.33,17.78,13.79,4,0,4,0,0,0,0.01
7,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,37-348,1986.0,89.0,89.0,8000.0,88.9,100.0,1.12,317.0,215.0,68.0,64.0,14.0,11.0,29.0,33.0,9.0,6.0,2.0,1.0,22.0,0.0,7.0,0.0,101.6,0.32,1.6,0.02,322.0,668.0,48.0,3198.0,515.0,19.0,27.75,496.0,11.0,25.82,868.0,25.0,3.0,238.0,2.68,84.80000000000001,57.0,606.0,3214.0,3003.0,87.0,79692.0,53069.0,610.0,611.0,100.0,1691.0,1724.0,98.0,904.0,1346.0,67.0,,0.3,0.30000000000000004,-0.3,1.0,23.0,2.0,0.0,20.0,2.0,10.0,0.11,,2807.0,3761.0,87.0,3848.0,2265.0,2293.0,31.57,42.31,0.98,43.28,25.48,25.79,4,0,0,0,0,4,0.02
8,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,34-106,1989.0,117.0,117.0,10484.0,116.5,136.0,1.17,459.0,325.0,71.0,64.0,27.0,26.0,36.0,31.0,13.0,10.0,2.0,1.0,15.0,4.0,14.0,4.0,130.39999999999998,0.28,-1.600000000000001,-0.01,446.0,1327.0,34.0,3705.0,625.0,28.000000000000004,30.58,690.0,40.0,36.05,1335.0,84.0,6.0,163.0,1.4,67.3,274.0,1048.0,3345.0,3663.0,76.0,85140.0,61438.0,703.0,707.0,99.0,1662.0,1695.0,98.0,969.0,1978.0,49.0,,0.0,0.30000000000000004,0.0,1.0,31.0,1.0,0.0,3.0,1.0,10.0,0.09,,3758.0,4592.0,47.0,4639.0,2726.0,2473.0,32.26,39.42,0.4,39.82,23.4,21.23,4,0,0,0,0,4,0.01
9,Lorenzo Montipò,it ITA,GK,Hellas Verona+Benevento,it Serie A,28-018,1996.0,135.0,135.0,12150.0,135.0,219.0,1.62,605.0,395.0,65.0,32.0,38.0,65.0,22.0,16.0,12.0,9.0,3.0,0.0,25.0,2.0,23.0,12.0,183.0,0.3,-24.0,-0.18,990.0,2470.0,40.0,3332.0,504.0,53.0,40.8,1008.0,68.0,49.05,1959.0,76.0,4.0,135.0,1.0,56.300000000000004,686.0,1782.0,2700.0,4075.0,62.0,93401.0,74171.0,377.0,379.0,99.0,963.0,996.0,97.0,1345.0,2948.0,46.0,,0.0,0.4,1.0,1.0,125.0,1.0,0.0,1.0,1.0,26.0,0.19,,3825.0,4730.0,26.0,4755.0,2311.0,1890.0,28.33,35.04,0.19,35.22,17.12,14.0,4,0,0,4,0,0,0.01
