,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
2,2.0,2.0,Alisson,br BRA,GK,Liverpool,eng Premier League,27.0,1992.0,33.0,33.0,2970.0,33.0,32.0,0.97,115.0,82.0,75.7,18.0,8.0,7.0,10.0,30.3,8.0,4.0,1.0,3.0,20.0,1.0,4.0,0.0,35.0,0.27,3.0,0.09,74.0,194.0,38.1,980.0,165.0,14.9,25.7,173.0,27.7,30.4,341.0,20.0,5.9,87.0,2.64,18.6,47.0,146.0,1000.0,1157.0,86.4,22600.0,14023.0,223.0,225.0,99.1,578.0,590.0,98.0,191.0,330.0,57.9,,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,0.06,0.03,931.0,1224.0,16.0,1239.0,709.0,669.0,28.21,37.09,0.48,37.55,21.48,20.27
3,3.0,3.0,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26.0,1993.0,12.0,12.0,1080.0,12.0,30.0,2.5,66.0,36.0,56.1,2.0,2.0,8.0,3.0,25.0,3.0,1.0,1.0,1.0,50.0,1.0,2.0,1.0,20.3,0.28,-8.7,-0.72,66.0,187.0,35.3,297.0,70.0,40.7,35.2,105.0,62.9,45.2,166.0,5.0,3.0,17.0,1.42,16.2,66.0,120.0,269.0,403.0,66.7,7971.0,6167.0,48.0,48.0,100.0,115.0,116.0,99.1,106.0,237.0,44.7,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,443.0,0.0,443.0,228.0,170.0,32.92,36.92,0.0,36.92,19.0,14.17
6,6.0,6.0,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27.0,1993.0,36.0,36.0,3240.0,36.0,48.0,1.33,161.0,114.0,73.9,5.0,13.0,18.0,9.0,25.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,50.5,0.28,3.5,0.1,144.0,389.0,37.0,760.0,173.0,32.8,30.0,251.0,55.8,39.8,501.0,26.0,5.2,31.0,0.86,13.0,140.0,249.0,746.0,1014.0,73.6,18222.0,12486.0,272.0,274.0,99.3,254.0,256.0,99.2,204.0,465.0,43.9,,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,5.0,0.18,0.0,972.0,1096.0,5.0,1101.0,574.0,414.0,27.0,30.44,0.14,30.58,15.94,11.5
8,8.0,8.0,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31.0,1989.0,36.0,36.0,3240.0,36.0,40.0,1.11,118.0,79.0,72.0,15.0,13.0,8.0,10.0,27.8,9.0,7.0,1.0,1.0,12.5,0.0,3.0,2.0,36.0,0.24,-2.0,-0.06,157.0,406.0,38.7,1022.0,190.0,26.3,30.2,283.0,48.4,40.4,564.0,27.0,4.8,32.0,0.89,13.9,136.0,268.0,1022.0,1308.0,78.1,26484.0,17800.0,229.0,229.0,100.0,509.0,520.0,97.9,276.0,548.0,50.4,,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,1376.0,2.0,1378.0,743.0,658.0,32.36,38.22,0.06,38.28,20.64,18.28
9,9.0,9.0,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23.0,1997.0,37.0,37.0,3330.0,37.0,54.0,1.46,173.0,118.0,72.8,14.0,7.0,16.0,6.0,16.2,9.0,7.0,2.0,0.0,22.2,1.0,6.0,1.0,51.9,0.25,-1.1,-0.03,213.0,543.0,39.2,986.0,180.0,38.2,35.0,259.0,64.1,45.3,563.0,12.0,2.1,34.0,0.92,14.8,166.0,376.0,877.0,1247.0,70.3,26471.0,19006.0,124.0,125.0,99.2,387.0,394.0,98.2,364.0,724.0,50.3,,0.2,0.0,0.8,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,1336.0,5.0,1341.0,709.0,572.0,31.89,36.11,0.14,36.24,19.16,15.46
10,10.0,10.0,Édgar Badía,es ESP,GK,Elche,es La Liga,28.0,1992.0,30.0,30.0,2700.0,30.0,46.0,1.53,141.0,92.0,70.9,5.0,11.0,14.0,5.0,16.7,9.0,5.0,3.0,1.0,37.5,0.0,3.0,0.0,52.5,0.33,6.5,0.22,208.0,453.0,45.9,864.0,144.0,33.0,32.7,285.0,58.9,41.4,444.0,8.0,1.8,31.0,1.03,13.9,167.0,285.0,865.0,1150.0,75.2,24979.0,18958.0,154.0,155.0,99.4,385.0,396.0,97.2,306.0,578.0,52.9,,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1117.0,1226.0,2.0,1228.0,591.0,507.0,37.23,40.87,0.07,40.93,19.7,16.9
12,12.0,12.0,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30.0,1990.0,31.0,31.0,2790.0,31.0,51.0,1.65,132.0,81.0,65.9,10.0,8.0,13.0,6.0,19.4,9.0,6.0,2.0,1.0,25.0,0.0,4.0,2.0,49.4,0.32,0.4,0.01,134.0,407.0,32.9,1143.0,176.0,29.2,29.9,204.0,35.8,32.0,417.0,14.0,3.4,53.0,1.71,18.3,73.0,333.0,1049.0,1349.0,77.8,24414.0,16656.0,298.0,298.0,100.0,486.0,495.0,98.2,246.0,535.0,46.0,,0.0,0.1,0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,0.06,0.0,1069.0,1414.0,15.0,1429.0,827.0,756.0,34.48,45.61,0.48,46.1,26.68,24.39
13,13.0,13.0,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27.0,1993.0,38.0,38.0,3420.0,38.0,53.0,1.39,176.0,123.0,73.9,15.0,7.0,16.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0,1.0,11.0,0.0,50.8,0.25,-2.2,-0.06,91.0,286.0,31.8,919.0,180.0,21.1,27.2,300.0,30.7,32.4,572.0,24.0,4.2,20.0,0.53,13.1,92.0,193.0,994.0,1222.0,81.3,22629.0,15207.0,257.0,258.0,99.6,534.0,546.0,97.8,201.0,412.0,48.8,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1175.0,1291.0,10.0,1300.0,705.0,596.0,30.92,33.97,0.26,34.21,18.55,15.68
15,15.0,15.0,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23.0,1997.0,38.0,38.0,3420.0,38.0,58.0,1.53,139.0,82.0,63.3,12.0,8.0,18.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5,0.0,5.0,1.0,53.5,0.33,-3.5,-0.09,143.0,456.0,31.4,712.0,214.0,37.5,35.2,269.0,70.3,50.9,516.0,19.0,3.7,17.0,0.45,11.3,189.0,267.0,640.0,985.0,65.0,19137.0,14456.0,89.0,89.0,100.0,303.0,309.0,98.1,246.0,580.0,42.4,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,0.08,0.03,904.0,1066.0,9.0,1075.0,513.0,330.0,23.79,28.05,0.24,28.29,13.5,8.68
17,17.0,17.0,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25.0,1995.0,19.0,19.0,1637.0,18.2,27.0,1.48,61.0,34.0,57.4,7.0,6.0,6.0,4.0,21.1,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,22.6,0.36,-4.4,-0.24,94.0,269.0,34.9,520.0,79.0,35.2,32.7,143.0,60.1,43.2,234.0,3.0,1.3,14.0,0.77,15.7,85.0,183.0,472.0,665.0,71.0,12793.0,9040.0,97.0,98.0,99.0,235.0,239.0,98.3,139.0,325.0,42.8,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,696.0,1.0,697.0,381.0,352.0,33.13,38.24,0.05,38.3,20.93,19.34
