,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
1,1,1,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-011,1993,24,24,2114,23.5,38,1.62,140,101,75.7,10,6,8,4,16.7,6,4,2,0,33.3,0,2,1,41.0,0.26,4.0,0.17,127,344,36.9,495,113,45.3,37.0,184,65.2,46.1,377,20,5.3,5,0.21,9.3,119,224,440.0,683.0,64.4,13881.0,10091.0,55.0,56.0,98.2,198.0,199.0,99.5,185.0,422.0,43.8,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,651.0,758.0,6.0,764.0,383.0,269.0,27.7,32.26,0.26,32.51,16.3,11.45
3,3,3,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-289,2002,24,24,2160,24.0,44,1.83,109,66,62.4,8,6,10,7,29.2,3,3,0,0,0.0,0,4,1,37.5,0.33,-5.5,-0.23,132,401,32.9,827,114,34.2,33.5,167,70.7,53.5,308,15,4.9,24,1.0,14.7,118,282,705.0,996.0,70.8,20132.0,14871.0,124.0,126.0,98.4,342.0,346.0,98.8,239.0,522.0,45.8,0,0.0,0.1,0.0,0.0,22.0,1.0,0.0,1.0,0.0,2.0,0.08,0.0,777.0,1023.0,16.0,1039.0,612.0,537.0,32.38,42.62,0.67,43.29,25.5,22.38
11,11,11,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34-365,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4,45,139,339.0,494.0,68.6,8491.0,5766.0,73.0,73.0,100.0,184.0,188.0,97.9,81.0,228.0,35.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.14,0.0,456.0,530.0,2.0,532.0,314.0,245.0,32.57,37.86,0.14,38.0,22.43,17.5
19,19,19,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24-157,1999,25,25,2250,25.0,19,0.76,71,50,77.5,11,7,7,14,56.0,6,3,3,0,50.0,0,0,1,22.4,0.24,4.4,0.18,51,118,43.2,783,118,12.4,22.9,102,20.6,24.8,261,18,6.9,12,0.48,11.5,21,97,789.0,886.0,89.1,16151.0,9838.0,262.0,265.0,98.9,378.0,386.0,97.9,133.0,217.0,61.3,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,0.0,778.0,922.0,4.0,928.0,762.0,585.0,31.12,36.88,0.16,37.12,30.48,23.4
20,20,20,Elia Caprile,it ITA,GK,Empoli,it Serie A,22-197,2001,12,12,1080,12.0,14,1.17,52,37,76.9,3,4,5,3,25.0,3,2,1,0,33.3,0,3,0,14.6,0.23,0.6,0.05,58,160,36.3,338,60,37.0,35.0,78,44.9,41.0,205,10,4.9,15,1.25,16.3,35,125,302.0,417.0,72.4,8559.0,6508.0,43.0,44.0,97.7,153.0,155.0,98.7,106.0,217.0,48.8,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.33,0.0,362.0,451.0,4.0,454.0,247.0,220.0,30.17,37.58,0.33,37.83,20.58,18.33
31,31,31,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25-348,1998,24,24,2160,24.0,41,1.71,129,88,72.9,7,8,9,1,4.2,9,6,2,1,25.0,0,9,2,40.9,0.26,1.9,0.08,123,346,35.5,947,72,30.0,32.1,132,47.0,42.0,357,22,6.2,37,1.54,14.2,62,284,830.0,1083.0,76.6,22163.0,14138.0,135.0,137.0,98.5,467.0,475.0,98.3,226.0,465.0,48.6,0,0.1,0.2,-0.1,1.0,35.0,1.0,0.0,3.0,0.0,7.0,0.29,0.0,742.0,1130.0,31.0,1160.0,740.0,630.0,30.92,47.08,1.29,48.33,30.83,26.25
33,33,33,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29-337,1994,23,23,2070,23.0,29,1.26,111,83,73.9,5,9,9,6,26.1,2,0,1,1,100.0,0,3,2,33.8,0.31,6.8,0.3,102,286,35.7,484,102,43.8,36.3,158,46.8,36.9,322,18,5.6,17,0.74,13.2,73,211,434.0,645.0,67.3,12396.0,9352.0,81.0,81.0,100.0,191.0,193.0,99.0,156.0,361.0,43.2,0,0.4,0.0,-0.4,1.0,12.0,1.0,0.0,0.0,0.0,2.0,0.09,0.0,592.0,699.0,2.0,701.0,449.0,263.0,25.74,30.39,0.09,30.48,19.52,11.43
41,41,41,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35-054,1989,13,12,1085,12.1,27,2.24,82,54,70.7,4,2,6,3,25.0,4,3,1,0,25.0,0,1,0,30.2,0.33,3.2,0.27,35,97,36.1,270,82,18.1,26.9,94,51.1,37.7,179,12,6.7,10,0.83,11.7,48,48,287.0,365.0,78.6,6807.0,3831.0,68.0,70.0,97.1,149.0,151.0,98.7,68.0,141.0,48.2,0,0.1,0.0,-0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,399.0,6.0,405.0,208.0,146.0,29.09,32.98,0.5,33.47,17.19,12.07
48,48,48,André Ferreira,pt POR,GK,Granada,es La Liga,27-285,1996,15,14,1340,14.9,29,1.95,77,49,66.2,0,5,9,0,0.0,3,3,0,0,0.0,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6,64,121,359.0,498.0,72.1,10011.0,7247.0,72.0,74.0,97.3,172.0,176.0,97.7,112.0,243.0,46.1,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.13,0.0,473.0,541.0,1.0,542.0,271.0,192.0,31.74,36.31,0.07,36.38,18.19,12.89
50,50,50,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,33-055,1991,25,24,2199,24.4,63,2.58,165,106,63.6,3,4,17,1,4.2,4,3,0,1,0.0,0,8,4,57.5,0.34,-1.5,-0.06,171,518,33.0,650,83,55.1,40.5,214,74.8,53.2,404,17,4.2,34,1.39,15.4,160,358,485.0,873.0,55.6,16052.0,12848.0,84.0,85.0,98.8,193.0,203.0,95.1,208.0,575.0,36.2,0,0.0,0.1,0.0,0.0,17.0,2.0,0.0,0.0,0.0,2.0,0.08,0.0,766.0,929.0,19.0,946.0,485.0,315.0,31.39,38.07,0.78,38.77,19.88,12.91
