,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
0,0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,28,2372,26.4,0.04,0.15,0.04,0.15,0.15,0.31,0.15,0.31,100.0,34.0,34.0,48.0,48.0,43.3,0.45,4.39,18.75,20.98,2.73,43.3,3.79,1.29,1.82,25.98,138.11,58.03,1.63,1.29,0.49,2.69,3.11,29.05,5.72,3.6,0.27,2.16,0.64,0.27,0.19,0.3,0.04,0.11,0.04,0.0,0.04,0.04,0.04,592.0,797.0,74.3,7577.0,2182.0,346.0,423.0,81.8,150.0,195.0,76.9,25.0,65.0,38.5,0.11,0.16,0.1,-0.05,1.74,1.78,0.61,0.15,3.26,30.19,26.93,3.22,0.98,0.3,0.08,2.73,0.19,1.44,0.64,0.53,0.04,22.42,0.04,1.02,1.56,0.34,0.02,0.11,0.09,-2.9,-2.9,17.0,0.08,0.0,0.0,0.61,2.08,0.23,0.19,0.68,0.0,0.0,4.85,0.3,1.48,1,1,0,0,0,0
5,5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,2137,23.7,0.08,0.17,0.08,0.17,0.06,0.18,0.06,0.18,76.0,43.0,56.6,28.0,36.8,63.97,1.1,10.0,38.57,17.26,0.97,63.97,3.21,1.81,1.18,49.96,289.49,138.99,2.45,2.53,0.3,1.52,0.84,44.98,4.68,2.91,0.13,2.49,0.17,0.13,0.04,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.0,1043.0,1257.0,83.0,18273.0,4649.0,465.0,536.0,86.8,421.0,494.0,85.2,122.0,169.0,72.2,0.08,0.12,0.11,-0.04,1.52,5.23,1.1,0.34,6.37,53.04,50.34,2.53,0.84,0.34,0.25,1.48,0.68,0.42,0.13,0.04,0.0,44.01,0.17,0.93,1.01,0.29,0.08,0.29,0.06,0.6,0.6,43.9,0.13,0.0,0.0,1.81,1.31,0.04,1.18,1.6,0.0,0.0,7.59,0.76,0.97,1,0,0,0,1,0
10,12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,28,2473,27.5,0.36,0.55,0.36,0.55,0.42,0.54,0.42,0.54,109.0,42.0,38.5,57.0,52.3,42.29,1.16,5.67,16.58,20.76,5.45,42.29,3.96,1.53,2.07,32.76,218.36,96.69,3.64,1.75,1.56,3.02,1.31,30.65,10.04,2.91,0.29,1.6,0.04,0.36,0.47,0.36,0.07,0.15,0.0,0.04,0.07,0.04,0.0,576.0,777.0,74.1,7539.0,1994.0,373.0,448.0,83.3,158.0,208.0,76.0,12.0,29.0,41.4,0.18,0.12,0.1,0.06,0.8,1.09,0.8,0.15,2.62,28.25,27.05,1.02,0.04,0.04,0.04,1.05,0.8,0.04,0.0,0.0,0.0,20.95,0.18,1.67,3.02,1.09,0.12,0.33,0.14,-1.5,-1.5,27.9,0.15,0.0,0.0,1.49,1.67,0.73,0.8,0.84,0.0,0.0,4.73,0.44,1.13,1,0,0,0,1,0
21,24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,24,20,1386,15.4,0.39,0.71,0.39,0.71,0.33,0.57,0.28,0.52,94.0,34.0,36.2,48.0,51.1,43.9,0.71,4.42,15.58,24.94,4.22,43.83,6.1,2.21,3.12,29.55,205.39,96.69,3.18,2.08,1.36,2.79,1.69,31.04,8.51,3.83,0.78,2.6,0.0,0.52,0.32,0.26,0.13,0.58,0.0,0.13,0.06,0.0,0.0,335.0,457.0,73.3,4409.0,1278.0,197.0,243.0,81.1,97.0,125.0,77.6,13.0,27.0,48.1,0.32,0.24,0.24,0.08,1.82,1.1,1.62,0.0,3.05,29.68,27.99,1.49,0.19,0.13,0.06,1.62,0.78,0.52,0.45,0.06,0.0,21.75,0.19,1.36,2.4,0.91,0.16,0.43,0.12,1.0,1.7,71.4,0.58,0.0,0.0,1.36,1.95,0.06,0.45,0.71,0.0,0.0,4.29,0.65,0.26,1,0,0,0,0,1
24,27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,32,18,1542,17.1,0.06,0.06,0.06,0.06,0.08,0.12,0.08,0.12,13.0,6.0,46.2,7.0,53.8,46.26,0.82,8.6,23.39,14.39,1.64,46.26,0.76,0.35,0.41,29.53,116.49,49.18,0.82,0.7,0.23,1.75,0.99,36.14,4.97,2.04,0.18,1.46,0.18,0.12,0.12,0.12,0.06,0.06,0.0,0.0,0.06,0.06,0.0,557.0,674.0,82.6,8050.0,2143.0,312.0,343.0,91.0,189.0,223.0,84.8,27.0,51.0,52.9,0.0,0.04,0.03,-0.04,0.88,2.16,0.41,0.06,2.69,39.42,37.49,1.75,0.58,0.0,0.18,1.23,0.76,0.23,0.06,0.18,0.0,32.57,0.18,0.94,0.88,0.12,0.07,0.5,0.1,-0.5,-0.5,28.6,0.23,0.0,0.0,1.29,1.29,0.41,0.41,0.35,0.06,0.06,3.98,0.58,1.46,1,0,0,1,0,0
26,29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,29,27,2388,26.5,0.0,0.11,0.0,0.11,0.06,0.15,0.06,0.15,14.0,8.0,57.1,6.0,42.9,67.85,8.04,32.11,33.09,3.28,0.79,67.85,0.53,0.3,0.23,48.57,289.47,145.89,0.57,0.72,0.08,0.87,0.49,41.02,0.3,1.17,0.11,0.98,0.04,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.0,1281.0,1493.0,85.8,27077.0,9413.0,360.0,413.0,87.2,705.0,764.0,92.3,202.0,284.0,71.1,0.11,0.09,0.06,0.02,0.49,4.23,0.57,0.04,4.94,56.34,54.08,2.11,1.89,0.26,0.68,0.08,0.15,0.0,0.0,0.0,0.0,48.34,0.15,0.42,0.83,0.11,0.0,0.0,0.08,-1.7,-1.7,62.5,0.19,0.11,0.0,1.09,0.23,0.0,1.21,1.85,0.0,0.04,9.36,2.26,1.36,1,0,0,0,1,0
29,33,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,34,18,1888,21.0,0.05,0.14,0.05,0.14,0.05,0.15,0.05,0.15,31.0,13.0,41.9,9.0,29.0,61.52,1.71,12.14,35.33,15.0,0.86,61.52,1.48,0.62,0.43,39.67,260.76,119.43,1.38,2.05,0.14,1.14,0.43,43.24,2.38,3.62,0.19,2.67,0.62,0.14,0.0,0.19,0.0,0.1,0.1,0.0,0.0,0.0,0.0,930.0,1142.0,81.4,18906.0,5096.0,359.0,404.0,88.9,371.0,429.0,86.5,174.0,246.0,70.7,0.1,0.1,0.1,-0.01,1.67,5.29,0.52,0.1,6.62,54.38,49.52,4.52,2.38,0.14,1.86,2.71,0.24,1.67,0.14,1.14,0.0,44.29,0.33,0.81,0.95,0.29,0.05,0.17,0.05,0.0,0.0,46.9,0.19,0.0,0.0,0.62,1.57,0.0,0.62,0.71,0.0,0.05,6.19,0.71,0.81,1,0,1,0,0,0
38,44,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,23,17,1653,18.4,0.0,0.0,0.0,0.0,0.01,0.03,0.01,0.03,10.0,3.0,30.0,5.0,50.0,54.18,5.71,27.5,24.57,2.77,0.27,54.18,0.54,0.16,0.27,27.17,171.03,85.27,1.03,0.6,0.0,0.33,0.27,28.32,0.38,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,817.0,79.1,10819.0,3713.0,297.0,332.0,89.5,294.0,349.0,84.2,40.0,97.0,41.2,0.0,0.02,0.04,-0.02,0.22,2.61,0.38,0.05,2.5,44.4,38.86,5.43,1.3,0.05,0.33,0.22,3.64,0.0,0.0,0.0,0.0,35.11,0.11,0.71,0.16,0.05,0.0,0.0,0.05,-0.2,-0.2,62.2,0.16,0.0,0.0,1.14,0.82,0.0,1.36,1.85,0.0,0.0,6.58,1.52,0.92,1,0,0,1,0,0
42,50,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,27,2297,25.5,0.04,0.04,0.04,0.04,0.06,0.14,0.06,0.14,51.0,27.0,52.9,18.0,35.3,50.31,3.06,17.02,22.08,12.04,1.37,50.31,2.0,1.06,0.71,25.88,164.71,87.53,2.35,1.33,0.43,1.14,0.98,27.84,3.29,1.41,0.12,1.14,0.04,0.04,0.12,0.0,0.08,0.08,0.0,0.04,0.0,0.0,0.0,821.0,1061.0,77.4,13314.0,5012.0,430.0,485.0,88.7,315.0,386.0,81.6,52.0,128.0,40.6,0.0,0.08,0.09,-0.08,0.82,1.69,0.86,0.67,2.27,41.61,32.31,9.02,0.98,0.12,0.51,2.75,8.04,0.0,0.0,0.0,0.0,32.2,0.27,0.78,0.9,0.27,0.04,0.14,0.07,-0.5,-0.5,48.3,0.2,0.0,0.0,0.78,0.71,0.0,0.55,0.63,0.0,0.0,4.98,0.55,0.59,1,0,1,0,0,0
57,65,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,18,13,1029,11.4,0.35,0.52,0.35,0.52,0.17,0.23,0.17,0.23,28.0,13.0,46.4,11.0,39.3,37.72,1.23,6.4,20.53,11.4,2.02,37.72,2.46,1.14,0.96,22.63,113.33,59.21,1.75,1.49,0.18,2.63,2.11,25.96,2.81,1.92,0.35,1.23,0.0,0.18,0.26,0.18,0.09,0.26,0.0,0.0,0.09,0.0,0.0,222.0,290.0,76.6,3147.0,669.0,114.0,137.0,83.2,80.0,95.0,84.2,8.0,19.0,42.1,0.18,0.06,0.06,0.11,0.44,1.75,0.53,0.0,2.46,25.44,24.47,0.79,0.09,0.18,0.35,0.35,0.09,0.0,0.0,0.0,0.0,19.47,0.18,0.88,2.1,0.87,0.17,0.4,0.08,2.1,2.1,20.6,0.26,0.0,0.0,1.4,1.49,0.18,0.09,0.44,0.0,0.0,4.65,0.61,2.37,1,1,0,0,0,0
