,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
0,0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000.0,14,12,1085,12.1,0.0,0.08,0.0,0.08,0.0,0.07,0.0,0.07,31.0,12.0,38.7,11.0,35.5,50.83,3.06,18.43,21.82,11.32,0.91,50.83,2.56,0.99,0.91,25.95,157.69,82.48,1.57,0.91,0.58,0.91,0.58,25.62,1.82,1.67,0.08,1.24,0.17,0.0,0.0,0.25,0.0,0.08,0.0,0.0,0.0,0.0,0.0,379.0,501.0,75.6,6256.0,2424.0,186.0,213.0,87.3,156.0,202.0,77.2,31.0,56.0,55.4,0.08,0.07,0.07,0.02,0.58,1.82,0.99,0.17,3.31,41.4,31.82,9.5,0.83,0.17,0.25,0.91,8.68,0.0,0.0,0.0,0.0,31.32,0.08,1.65,0.08,0.0,0.0,0.0,0.02,0.0,0.0,30.8,0.08,0.0,0.0,0.91,2.07,0.17,0.5,1.49,0.0,0.08,5.7,0.33,0.74,2.31,1.65,0.5,0.17,1.57,2.48,0.91,0.74,0.41,2.81,1.9,0.0,63.3,1,1,0,0,0,0
7,7,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,17,13,1164,12.9,0.0,0.0,0.0,0.0,0.01,0.05,0.01,0.05,12.0,6.0,50.0,5.0,41.7,63.49,4.42,22.09,25.74,16.2,2.02,63.49,0.93,0.47,0.39,30.54,124.5,64.19,1.01,0.78,0.39,1.01,0.85,33.49,4.19,1.01,0.0,0.93,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,676.0,77.4,7774.0,3812.0,299.0,334.0,89.5,171.0,223.0,76.7,30.0,66.0,45.5,0.0,0.05,0.08,-0.05,0.54,1.32,0.54,0.16,2.17,52.4,41.24,11.01,0.39,0.0,0.23,1.86,10.62,0.0,0.0,0.0,0.0,40.54,0.16,1.63,0.31,0.0,0.0,0.0,0.03,-0.1,-0.1,56.5,0.23,0.0,0.0,0.93,0.16,0.08,0.85,1.32,0.0,0.08,5.04,1.01,0.78,1.55,0.93,0.54,0.08,1.09,2.17,1.09,1.63,0.31,2.4,3.95,0.0,50.0,1,0,1,0,0,0
9,9,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,18,18,1547,17.2,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,4.0,3.0,75.0,0.0,0.0,41.86,7.67,22.62,17.62,1.74,0.99,41.86,0.23,0.17,0.0,20.29,101.98,62.03,0.23,0.23,0.0,0.52,0.06,20.58,0.0,0.52,0.0,0.35,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,541.0,73.4,8883.0,3730.0,102.0,121.0,84.3,214.0,240.0,89.2,73.0,154.0,47.4,0.0,0.0,0.01,0.0,0.06,2.5,0.06,0.0,2.33,31.45,29.3,2.03,1.8,0.0,0.81,0.06,0.17,0.0,0.0,0.0,0.0,23.08,0.12,0.41,0.47,0.12,0.0,0.0,0.04,-0.3,-0.3,58.2,0.35,0.0,0.0,1.45,1.1,0.06,0.87,0.52,0.0,0.12,4.59,1.86,1.34,1.16,0.87,0.17,0.12,0.64,1.22,0.58,0.99,0.76,2.03,4.65,0.0,52.4,1,0,1,0,0,0
12,14,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,24,21,1745,19.4,0.36,0.36,0.36,0.36,0.55,0.61,0.55,0.61,33.0,10.0,30.3,20.0,60.6,25.52,0.62,2.32,10.72,12.89,4.79,25.52,1.7,0.52,1.03,17.68,108.97,40.31,1.55,0.93,0.82,2.63,1.29,19.28,5.41,1.86,0.1,1.24,0.0,0.26,0.31,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,195.0,301.0,64.8,2773.0,610.0,103.0,151.0,68.2,67.0,95.0,70.5,9.0,21.0,42.9,0.0,0.06,0.07,-0.06,0.72,0.57,0.15,0.1,0.72,15.52,15.21,0.31,0.0,0.05,0.05,0.52,0.05,0.0,0.0,0.0,0.0,10.05,0.0,0.82,3.4,1.55,0.11,0.23,0.16,-3.8,-3.8,49.0,0.1,0.0,0.0,1.44,0.98,1.08,0.21,0.21,0.0,0.0,2.16,2.47,2.58,0.52,0.15,0.15,0.21,0.15,0.36,0.21,0.21,0.05,0.72,0.41,0.0,42.9,1,0,0,0,1,0
15,17,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,26.0,1997.0,13,11,993,11.0,0.09,0.09,0.09,0.09,0.03,0.04,0.03,0.04,3.0,1.0,33.3,0.0,0.0,78.36,10.27,38.82,36.91,2.73,1.55,78.36,0.27,0.09,0.0,45.09,262.73,156.0,0.36,0.45,0.0,0.18,0.36,56.09,0.18,0.54,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,741.0,84.1,12733.0,4662.0,165.0,186.0,88.7,385.0,429.0,89.7,68.0,106.0,64.2,0.0,0.01,0.01,-0.01,0.09,2.36,0.18,0.0,3.0,67.36,65.55,1.64,1.55,0.09,0.55,0.0,0.0,0.0,0.0,0.0,0.0,56.64,0.18,0.27,0.82,0.27,0.11,0.33,0.04,0.7,0.7,73.7,0.09,0.0,0.0,0.36,0.27,0.0,1.55,0.73,0.0,0.0,2.18,3.82,1.36,1.27,0.91,0.36,0.0,0.91,1.27,0.36,1.0,0.73,2.82,5.27,0.0,71.4,1,1,0,0,0,0
16,18,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,26.0,1998.0,23,13,1162,12.9,0.7,0.7,0.7,0.7,0.43,0.49,0.43,0.49,53.0,14.0,26.4,36.0,67.9,30.62,1.86,3.57,11.94,15.5,5.74,30.62,4.11,1.09,2.79,17.05,94.42,27.52,1.09,0.85,0.85,4.34,1.94,21.78,6.59,2.02,0.23,1.4,0.0,0.23,0.31,0.08,0.0,0.08,0.0,0.0,0.16,0.0,0.0,128.0,177.0,72.3,1627.0,336.0,84.0,105.0,80.0,35.0,52.0,67.3,3.0,6.0,50.0,0.0,0.05,0.03,-0.05,1.09,0.54,0.23,0.0,1.47,13.72,13.57,0.08,0.0,0.08,0.0,0.31,0.08,0.0,0.0,0.0,0.0,9.92,0.08,0.31,2.17,0.93,0.32,0.75,0.2,3.4,3.4,50.0,0.08,0.0,0.0,1.71,0.85,0.85,0.39,0.0,0.0,0.0,2.33,2.95,2.95,0.08,0.08,0.0,0.0,0.0,0.7,0.7,0.62,0.08,0.47,1.78,0.0,0.0,1,1,0,0,0,0
18,20,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,22.0,2002.0,20,15,1367,15.2,0.4,0.46,0.4,0.46,0.2,0.34,0.2,0.34,80.0,32.0,40.0,42.0,52.5,47.63,1.12,7.3,15.0,26.05,5.99,47.63,5.26,2.11,2.76,31.71,201.64,115.86,4.54,2.04,2.5,1.78,1.12,33.03,12.43,2.96,0.26,1.97,0.07,0.39,0.33,0.07,0.13,0.2,0.0,0.0,0.0,0.0,0.07,405.0,540.0,75.0,5752.0,1025.0,256.0,312.0,82.1,122.0,163.0,74.8,16.0,26.0,61.5,0.07,0.14,0.11,-0.08,1.25,0.59,1.51,0.53,1.84,35.53,34.21,1.25,0.13,0.26,0.07,3.49,0.79,0.33,0.0,0.07,0.0,26.64,0.07,1.05,2.04,0.92,0.19,0.43,0.1,3.0,3.0,61.5,0.13,0.0,0.0,1.18,0.72,0.72,0.79,0.79,0.0,0.0,4.87,0.53,0.33,1.45,0.79,0.33,0.33,0.72,1.84,1.12,1.05,0.07,2.24,0.66,0.0,39.3,1,1,0,0,0,0
21,23,Yacine Adli,fr FRA,MF,Milan,it Serie A,23.0,2000.0,17,13,1064,11.8,0.08,0.08,0.08,0.08,0.03,0.07,0.03,0.07,25.0,17.0,68.0,6.0,24.0,88.14,2.54,16.69,54.32,17.88,0.51,88.14,2.12,1.44,0.51,53.22,298.22,128.73,1.86,1.61,0.17,1.02,0.68,62.54,1.53,3.72,0.42,2.46,1.02,0.25,0.0,0.0,0.0,0.17,0.17,0.08,0.0,0.0,0.0,795.0,931.0,85.4,14251.0,4542.0,341.0,376.0,90.7,352.0,391.0,90.0,82.0,128.0,64.1,0.0,0.04,0.1,-0.04,1.02,8.73,1.1,0.51,7.88,78.9,73.9,4.92,2.29,0.17,0.93,3.39,0.42,2.2,0.68,0.85,0.0,67.37,0.08,0.85,0.34,0.08,0.25,1.0,0.07,0.7,0.7,66.7,0.25,0.0,0.0,1.69,0.76,0.0,1.53,1.19,0.0,0.08,6.1,1.19,0.59,2.29,1.1,0.93,0.25,0.85,2.46,1.61,1.27,0.51,3.81,1.19,0.08,34.5,1,0,0,1,0,0
31,35,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24.0,1999.0,21,20,1818,20.2,0.05,0.05,0.05,0.05,0.13,0.13,0.13,0.13,14.0,8.0,57.1,5.0,35.7,47.03,7.08,24.8,18.47,3.96,1.09,47.03,0.69,0.4,0.25,21.53,117.38,63.37,0.45,0.59,0.1,0.5,0.4,24.95,0.84,0.94,0.05,0.79,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,536.0,709.0,75.6,8788.0,3329.0,259.0,297.0,87.2,232.0,285.0,81.4,34.0,93.0,36.6,0.0,0.0,0.0,0.0,0.05,1.39,0.05,0.0,1.44,35.1,33.56,1.44,0.2,0.0,0.05,0.25,1.24,0.0,0.0,0.0,0.0,26.53,0.1,0.74,0.74,0.15,0.07,0.33,0.17,-1.5,-1.5,54.0,0.4,0.0,0.0,1.29,0.45,0.05,1.09,1.44,0.0,0.0,3.76,1.68,1.44,2.33,1.73,0.5,0.1,1.09,1.78,0.69,1.53,0.89,3.42,4.6,0.05,61.1,1,1,0,0,0,0
33,37,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,1996.0,14,12,989,11.0,0.09,0.18,0.09,0.18,0.01,0.06,0.01,0.06,25.0,11.0,44.0,10.0,40.0,47.82,3.91,19.55,19.91,8.64,0.55,47.82,2.27,1.0,0.91,23.27,142.82,84.91,2.64,1.45,0.55,1.09,0.55,25.0,2.0,1.55,0.09,1.09,0.18,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,290.0,392.0,74.0,4606.0,1841.0,154.0,173.0,89.0,112.0,143.0,78.3,18.0,50.0,36.0,0.09,0.05,0.04,0.05,0.45,2.0,0.27,0.09,2.73,35.64,29.45,6.09,0.55,0.09,0.0,1.0,5.55,0.0,0.0,0.0,0.0,26.36,0.09,0.82,0.55,0.09,0.17,1.0,0.03,0.8,0.8,57.9,0.27,0.0,0.0,1.18,1.09,0.18,0.73,1.36,0.0,0.09,4.64,1.0,0.73,2.36,1.91,0.36,0.09,1.55,2.09,0.55,0.91,0.27,3.09,3.45,0.09,73.9,1,1,0,0,0,0
